행정동,2023.01 방문인구(명),2025.07 방문인구(명),방문인구 증감(명),방문인구 증감률(%),2025.07 방문인구지수,2023.01 생산가능인구(명),2025.07 생산가능인구(명),생산가능인구 증감(명),생산가능인구 증감률(%),2025.07 생산가능인구지수,2023.01 인구활력지수,2025.07 인구활력지수,인구활력지수 변화,인구활력지수 증감률(%),방문인구 증감방향
광탄면,824,670,-154,-18.69,0.04749522,7055,6054,-1001,-14.19,0.11564598,0.0941570619268689,0.0815706,-0.01,-1.26,감소
교하동,653,547,-106,-16.23,0.038087954,5323,4669,-654,-12.29,0.087297364,0.0705269688931388,0.062692659,-0.01,-0.78,감소
금촌1동,1920,1588,-332,-17.29,0.117705545,16418,14857,-1561,-9.51,0.295828557,0.2281805000069551,0.206767051,-0.02,-2.14,감소
금촌2동,5734,4846,-888,-15.49,0.366883365,22961,21397,-1564,-6.81,0.429691338,0.4334246108070787,0.398287352,-0.04,-3.51,감소
금촌3동,3720,3142,-578,-15.54,0.236558317,18993,17136,-1857,-9.78,0.342475847,0.3199003200971617,0.289517082,-0.03,-3.04,감소
문산읍,7407,7329,-78,-1.05,0.556787763,32674,32787,113,0.35,0.662825446,0.5920813092680709,0.609806605,0.02,1.77,감소
법원읍,759,570,-189,-24.9,0.039847036,6595,5560,-1035,-15.69,0.105534632,0.0871642178940864,0.072690834,-0.01,-1.45,감소
운정1동,8681,8890,209,2.41,0.676175908,34214,38985,4771,13.94,0.789688063,0.6541651216302482,0.732931986,0.08,7.88,증감
운정2동,13028,13124,96,0.74,1.0,43917,44751,834,1.9,0.907708367,0.910612876990844,0.953854184,0.04,4.32,증감
운정3동,13723,12735,-988,-7.2,0.970248566,50293,49260,-1033,-2.05,1.0,1.0,0.985124283,-0.01,-1.49,감소
운정4동,2556,2585,29,1.13,0.193957935,17394,18181,787,4.52,0.363865237,0.2612517475428076,0.278911586,0.02,1.77,증감
운정5동,8044,10477,2433,30.25,0.797552581,31279,41792,10513,33.61,0.847142623,0.6014106833567334,0.822347602,0.22,22.09,증감
운정6동,2482,4765,2283,91.98,0.360688337,11618,22026,10408,89.59,0.442565908,0.2006158832767114,0.401627122,0.2,20.1,증감
월롱면,315,271,-44,-13.97,0.016978967,7567,5866,-1701,-22.48,0.111797937,0.0806580823616942,0.064388452,-0.02,-1.63,감소
장단면,65,49,-16,-24.62,0.0,437,404,-33,-7.55,0.0,0.0,0.0,0.0,0.0,감소
적성면,687,516,-171,-24.89,0.035717017,4478,3895,-583,-13.02,0.071454888,0.0632972543587708,0.053585953,-0.01,-0.97,감소
조리읍,3526,2989,-537,-15.23,0.224856597,20196,18315,-1881,-9.31,0.366607991,0.3248630018430235,0.295732294,-0.03,-2.91,감소
탄현면,1245,1173,-72,-5.78,0.085965583,9216,9336,120,1.3,0.18282299,0.1312416911091996,0.134394287,0.0,0.32,감소
파주읍,1219,1004,-215,-17.64,0.073040153,9447,8685,-762,-8.07,0.169498117,0.1326065400172676,0.121269135,-0.01,-1.13,감소
파평면,219,165,-54,-24.66,0.008871893,2229,1871,-358,-16.06,0.030027018,0.0236094801468704,0.019449456,-0.0,-0.42,감소
