기간,기준년월,기초지자체,중분류,소비액(천원) (내국인),소비액(천원) (외국인)
21.10~22.09,202110,파주시,골프장,10574369.0,28542.0
21.10~22.09,202110,파주시,관광유원시설,679846.0,710.0
21.10~22.09,202110,파주시,관광총소비,133212956.0,777593.0
21.10~22.09,202110,파주시,기타관광쇼핑,17848603.0,121438.0
21.10~22.09,202110,파주시,기타레저,1676627.0,3583.0
21.10~22.09,202110,파주시,기타숙박,711572.0,56989.0
21.10~22.09,202110,파주시,대형쇼핑몰,50522457.0,459544.0
21.10~22.09,202110,파주시,레저용품쇼핑,1663185.0,7222.0
21.10~22.09,202110,파주시,렌터카,6940.0,
21.10~22.09,202110,파주시,문화서비스,567735.0,980.0
21.10~22.09,202110,파주시,뷰티,930696.0,2772.0
21.10~22.09,202110,파주시,여행업,65504.0,0.0
21.10~22.09,202110,파주시,육상운송,15908889.0,11865.0
21.10~22.09,202110,파주시,의료관광,188054.0,12770.0
21.10~22.09,202110,파주시,일반외식업,25516305.0,60053.0
21.10~22.09,202110,파주시,제과음료업,6192936.0,9891.0
21.10~22.09,202110,파주시,캠핑장/펜션,56071.0,0.0
21.10~22.09,202110,파주시,호텔,103167.0,1232.0
21.10~22.09,202111,파주시,골프장,8466295.0,28654.0
21.10~22.09,202111,파주시,관광유원시설,328844.0,584.0
21.10~22.09,202111,파주시,관광총소비,114555871.0,721419.0
21.10~22.09,202111,파주시,기타관광쇼핑,16682538.0,127730.0
21.10~22.09,202111,파주시,기타레저,1315263.0,3830.0
21.10~22.09,202111,파주시,기타숙박,709236.0,36606.0
21.10~22.09,202111,파주시,대형쇼핑몰,40208917.0,357062.0
21.10~22.09,202111,파주시,레저용품쇼핑,1681843.0,10101.0
21.10~22.09,202111,파주시,렌터카,1479.0,
21.10~22.09,202111,파주시,문화서비스,521851.0,672.0
21.10~22.09,202111,파주시,뷰티,861165.0,2882.0
21.10~22.09,202111,파주시,여행업,39818.0,
21.10~22.09,202111,파주시,육상운송,15154733.0,12764.0
21.10~22.09,202111,파주시,의료관광,185712.0,16359.0
21.10~22.09,202111,파주시,일반외식업,23339852.0,94075.0
21.10~22.09,202111,파주시,제과음료업,4890058.0,14092.0
21.10~22.09,202111,파주시,캠핑장/펜션,48789.0,
21.10~22.09,202111,파주시,호텔,119479.0,16007.0
21.10~22.09,202112,파주시,골프장,3839353.0,13958.0
21.10~22.09,202112,파주시,관광유원시설,251892.0,327.0
21.10~22.09,202112,파주시,관광총소비,100791023.0,684636.0
21.10~22.09,202112,파주시,기타관광쇼핑,16541231.0,157922.0
21.10~22.09,202112,파주시,기타레저,983589.0,1302.0
21.10~22.09,202112,파주시,기타숙박,683295.0,45210.0
21.10~22.09,202112,파주시,대형쇼핑몰,33786990.0,316625.0
21.10~22.09,202112,파주시,레저용품쇼핑,1254729.0,4865.0
21.10~22.09,202112,파주시,렌터카,1203.0,
21.10~22.09,202112,파주시,문화서비스,562336.0,563.0
21.10~22.09,202112,파주시,뷰티,949394.0,11841.0
21.10~22.09,202112,파주시,여행업,3892.0,
21.10~22.09,202112,파주시,육상운송,15269770.0,10399.0
21.10~22.09,202112,파주시,의료관광,219870.0,15927.0
21.10~22.09,202112,파주시,일반외식업,21104021.0,79080.0
21.10~22.09,202112,파주시,제과음료업,5190206.0,10032.0
21.10~22.09,202112,파주시,캠핑장/펜션,48895.0,
21.10~22.09,202112,파주시,호텔,100358.0,16584.0
21.10~22.09,202201,파주시,골프장,2205502.0,5805.0
21.10~22.09,202201,파주시,관광유원시설,216243.0,313.0
21.10~22.09,202201,파주시,관광총소비,101405836.0,506747.0
21.10~22.09,202201,파주시,기타관광쇼핑,18492350.0,86115.0
21.10~22.09,202201,파주시,기타레저,1128804.0,6475.0
21.10~22.09,202201,파주시,기타숙박,591235.0,16343.0
21.10~22.09,202201,파주시,대형쇼핑몰,34175517.0,280610.0
21.10~22.09,202201,파주시,레저용품쇼핑,1187552.0,2855.0
21.10~22.09,202201,파주시,렌터카,7631.0,
21.10~22.09,202201,파주시,문화서비스,569073.0,486.0
21.10~22.09,202201,파주시,뷰티,965487.0,3287.0
21.10~22.09,202201,파주시,여행업,4500.0,
21.10~22.09,202201,파주시,육상운송,14439405.0,6347.0
21.10~22.09,202201,파주시,의료관광,184210.0,7495.0
21.10~22.09,202201,파주시,일반외식업,21195148.0,60379.0
21.10~22.09,202201,파주시,제과음료업,5858518.0,8714.0
21.10~22.09,202201,파주시,캠핑장/펜션,56199.0,
21.10~22.09,202201,파주시,호텔,128462.0,21523.0
21.10~22.09,202202,파주시,골프장,3337757.0,16639.0
21.10~22.09,202202,파주시,관광유원시설,161152.0,245.0
21.10~22.09,202202,파주시,관광총소비,81164619.0,479094.0
21.10~22.09,202202,파주시,기타관광쇼핑,13904035.0,68893.0
21.10~22.09,202202,파주시,기타레저,862339.0,3472.0
21.10~22.09,202202,파주시,기타숙박,626173.0,18276.0
21.10~22.09,202202,파주시,대형쇼핑몰,25687408.0,297034.0
21.10~22.09,202202,파주시,레저용품쇼핑,950647.0,1454.0
21.10~22.09,202202,파주시,렌터카,2306.0,120.0
21.10~22.09,202202,파주시,문화서비스,437487.0,527.0
21.10~22.09,202202,파주시,뷰티,719277.0,6027.0
21.10~22.09,202202,파주시,여행업,16245.0,
21.10~22.09,202202,파주시,육상운송,12491184.0,6384.0
21.10~22.09,202202,파주시,의료관광,146441.0,6189.0
21.10~22.09,202202,파주시,일반외식업,16877945.0,42862.0
21.10~22.09,202202,파주시,제과음료업,4786636.0,7777.0
21.10~22.09,202202,파주시,캠핑장/펜션,41825.0,
21.10~22.09,202202,파주시,호텔,115763.0,3195.0
21.10~22.09,202203,파주시,골프장,7926333.0,22765.0
21.10~22.09,202203,파주시,관광유원시설,256315.0,422.0
21.10~22.09,202203,파주시,관광총소비,106848111.0,661173.0
21.10~22.09,202203,파주시,기타관광쇼핑,16908389.0,140604.0
21.10~22.09,202203,파주시,기타레저,1124538.0,4547.0
21.10~22.09,202203,파주시,기타숙박,671611.0,14380.0
21.10~22.09,202203,파주시,대형쇼핑몰,32687154.0,371208.0
21.10~22.09,202203,파주시,레저용품쇼핑,1295659.0,4137.0
21.10~22.09,202203,파주시,렌터카,10737.0,
21.10~22.09,202203,파주시,문화서비스,393997.0,1214.0
21.10~22.09,202203,파주시,뷰티,873300.0,5160.0
21.10~22.09,202203,파주시,여행업,3948.0,0.0
21.10~22.09,202203,파주시,육상운송,17049297.0,8163.0
21.10~22.09,202203,파주시,의료관광,213483.0,6346.0
21.10~22.09,202203,파주시,일반외식업,21805136.0,60803.0
21.10~22.09,202203,파주시,제과음료업,5441055.0,21384.0
21.10~22.09,202203,파주시,캠핑장/펜션,48314.0,40.0
21.10~22.09,202203,파주시,호텔,138845.0,0.0
21.10~22.09,202204,파주시,골프장,11047791.0,31497.0
21.10~22.09,202204,파주시,관광유원시설,568429.0,908.0
21.10~22.09,202204,파주시,관광총소비,123680240.0,898769.0
21.10~22.09,202204,파주시,기타관광쇼핑,16609000.0,186536.0
