기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
21.10~22.09,가평군,관광총소비,486715565.0,396188319.0,
21.10~22.09,경기도,관광총소비,,,1482799.0
21.10~22.09,경기도,관광총소비,,,6038452.0
21.10~22.09,경기도,관광총소비,,,24057491.0
21.10~22.09,경기도,관광총소비,,,17626420.0
21.10~22.09,경기도,관광총소비,,,3367529.0
21.10~22.09,경기도,관광총소비,,,1422757.0
21.10~22.09,경기도,관광총소비,,,44968585.0
21.10~22.09,경기도,관광총소비,,,5280780.0
21.10~22.09,경기도,관광총소비,,,986775.0
21.10~22.09,경기도,관광총소비,,,6606347.0
21.10~22.09,경기도,관광총소비,,,12266569.0
21.10~22.09,경기도,관광총소비,,,1004138.0
21.10~22.09,경기도,관광총소비,,,327875.0
21.10~22.09,경기도,관광총소비,,,2077360.0
21.10~22.09,경기도,관광총소비,,,92713214.0
21.10~22.09,경기도,관광총소비,,,11599742.0
21.10~22.09,경기도,관광총소비,,,2291524.0
21.10~22.09,경기도,관광총소비,,,3556700.0
21.10~22.09,경기도,관광총소비,,,6441151.0
21.10~22.09,경기도,관광총소비,,,7546347.0
21.10~22.09,경기도,관광총소비,,,3948716.0
21.10~22.09,경기도,관광총소비,,,686815.0
21.10~22.09,경기도,관광총소비,,,1585653.0
21.10~22.09,경기도,관광총소비,,,4185288.0
21.10~22.09,경기도,관광총소비,,,2400214.0
21.10~22.09,경기도,관광총소비,,,3896453.0
21.10~22.09,경기도,관광총소비,,,1358226.0
21.10~22.09,경기도,관광총소비,,,4488942.0
21.10~22.09,경기도,관광총소비,,,4621896.0
21.10~22.09,경기도,관광총소비,,,7750034.0
21.10~22.09,경기도,관광총소비,,,9501216.0
21.10~22.09,경기도,관광총소비,,,7950674.0
21.10~22.09,경기도,관광총소비,,,11667726.0
21.10~22.09,경기도,관광총소비,,,5355161.0
21.10~22.09,경기도,관광총소비,,,7840564.0
21.10~22.09,경기도,관광총소비,,,7127051.0
21.10~22.09,경기도,관광총소비,,,13523702.0
21.10~22.09,경기도,관광총소비,,,2311791.0
21.10~22.09,경기도,관광총소비,,,1688749.0
21.10~22.09,경기도,관광총소비,,,2065025.0
21.10~22.09,경기도,관광총소비,,,6991829.0
21.10~22.09,경기도,관광총소비,,,158494.0
21.10~22.09,경기도,관광총소비,,,1764281.0
