기간,지역명,비율(%) (내국인),비율(%) (외국인)
21.10~22.09,광탄면,6.9,2.7
21.10~22.09,교하동,21.1,40.6
21.10~22.09,금촌1동,3.9,1.5
21.10~22.09,금촌2동,2.8,2.9
21.10~22.09,금촌3동,1.1,0.2
21.10~22.09,문산읍,6.2,5.3
21.10~22.09,법원읍,3.9,1.1
21.10~22.09,운정1동,2.4,1.3
21.10~22.09,운정2동,3.1,1.1
21.10~22.09,운정3동,6.1,4.0
21.10~22.09,운정4동,2.0,0.5
21.10~22.09,운정5동,1.4,0.6
21.10~22.09,운정6동,0.0,0.0
21.10~22.09,월롱면,3.7,1.0
21.10~22.09,장단면,0.1,3.6
21.10~22.09,적성면,2.0,0.3
21.10~22.09,조리읍,4.8,0.8
21.10~22.09,탄현면,26.3,32.2
21.10~22.09,파주읍,1.6,0.2
21.10~22.09,파평면,0.7,0.1
22.10~23.09,광탄면,6.5,1.5
22.10~23.09,교하동,20.2,41.0
22.10~23.09,금촌1동,3.6,0.9
22.10~23.09,금촌2동,3.1,1.6
22.10~23.09,금촌3동,1.0,0.1
22.10~23.09,문산읍,6.0,5.3
22.10~23.09,법원읍,3.9,0.7
22.10~23.09,운정1동,2.7,1.0
22.10~23.09,운정2동,4.2,0.8
22.10~23.09,운정3동,6.9,6.2
22.10~23.09,운정4동,2.0,0.5
22.10~23.09,운정5동,1.5,0.3
22.10~23.09,운정6동,0.0,0.0
22.10~23.09,월롱면,3.4,0.8
22.10~23.09,장단면,0.1,7.1
22.10~23.09,적성면,1.9,0.2
22.10~23.09,조리읍,4.7,0.8
22.10~23.09,탄현면,25.9,30.9
22.10~23.09,파주읍,1.7,0.1
22.10~23.09,파평면,0.7,0.1
23.10~24.09,광탄면,6.4,1.4
23.10~24.09,교하동,20.4,35.0
23.10~24.09,금촌1동,3.4,0.9
23.10~24.09,금촌2동,3.0,1.3
23.10~24.09,금촌3동,1.0,0.1
23.10~24.09,문산읍,5.9,6.5
23.10~24.09,법원읍,3.8,0.8
23.10~24.09,운정1동,3.2,1.3
23.10~24.09,운정2동,3.7,0.9
23.10~24.09,운정3동,7.0,4.9
23.10~24.09,운정4동,2.2,0.5
23.10~24.09,운정5동,1.6,0.5
23.10~24.09,운정6동,0.2,0.0
23.10~24.09,월롱면,2.6,0.5
23.10~24.09,장단면,0.1,13.9
23.10~24.09,적성면,1.7,0.3
23.10~24.09,조리읍,4.8,0.8
23.10~24.09,탄현면,26.6,30.2
23.10~24.09,파주읍,1.8,0.2
23.10~24.09,파평면,0.5,0.1
24.10~25.09,광탄면,6.2,1.2
24.10~25.09,교하동,20.8,33.7
24.10~25.09,금촌1동,3.2,0.6
24.10~25.09,금촌2동,3.0,1.1
24.10~25.09,금촌3동,0.9,0.1
24.10~25.09,문산읍,6.4,6.9
24.10~25.09,법원읍,3.8,0.5
24.10~25.09,운정1동,3.5,1.7
24.10~25.09,운정2동,3.1,0.9
24.10~25.09,운정3동,6.8,6.0
24.10~25.09,운정4동,2.2,0.7
24.10~25.09,운정5동,1.8,0.5
24.10~25.09,운정6동,0.3,0.1
24.10~25.09,월롱면,2.4,0.6
24.10~25.09,장단면,0.1,18.1
24.10~25.09,적성면,1.6,0.5
24.10~25.09,조리읍,5.1,0.6
24.10~25.09,탄현면,26.4,26.1
24.10~25.09,파주읍,1.9,0.2
24.10~25.09,파평면,0.6,0.1
24.10~25.09,,0.0,
