year,month,성/연령,지역명,비율
2024,1,50대 남성,경기도 성남시 중원구,10.6
2024,1,50대 여성,경기도 성남시 중원구,10.0
2024,1,30대 남성,경기도 성남시 중원구,9.9
2024,1,40대 남성,경기도 성남시 중원구,9.3
2024,1,60대 남성,경기도 성남시 중원구,9.1
2024,1,60대 여성,경기도 성남시 중원구,8.4
2024,1,20대 남성,경기도 성남시 중원구,7.6
2024,1,30대 여성,경기도 성남시 중원구,7.2
2024,1,40대 여성,경기도 성남시 중원구,7.1
2024,1,20대 여성,경기도 성남시 중원구,6.5
2024,1,70대 이상 여성,경기도 성남시 중원구,4.0
2024,1,70대 이상 남성,경기도 성남시 중원구,3.8
2024,1,10대 남성,경기도 성남시 중원구,2.8
2024,1,10대 여성,경기도 성남시 중원구,2.7
2024,1,10대 미만 여성,경기도 성남시 중원구,0.6
2024,1,10대 미만 남성,경기도 성남시 중원구,0.5
