year,month,성/연령,지역명,비율
2024,1,50대 남성,전북특별자치도 완주군,14.8
2024,1,60대 남성,전북특별자치도 완주군,10.4
2024,1,50대 여성,전북특별자치도 완주군,10.1
2024,1,40대 남성,전북특별자치도 완주군,9.8
2024,1,30대 남성,전북특별자치도 완주군,9.1
2024,1,20대 남성,전북특별자치도 완주군,7.3
2024,1,40대 여성,전북특별자치도 완주군,6.8
2024,1,60대 여성,전북특별자치도 완주군,6.8
2024,1,30대 여성,전북특별자치도 완주군,5.9
2024,1,20대 여성,전북특별자치도 완주군,5.6
2024,1,70대 이상 남성,전북특별자치도 완주군,3.8
2024,1,70대 이상 여성,전북특별자치도 완주군,3.3
2024,1,10대 남성,전북특별자치도 완주군,2.9
2024,1,10대 여성,전북특별자치도 완주군,2.4
2024,1,10대 미만 여성,전북특별자치도 완주군,0.5
2024,1,10대 미만 남성,전북특별자치도 완주군,0.5
