year,month,성/연령,지역명,비율
2024,3,50대 남성,경상남도 창원시 성산구,11.9
2024,3,50대 여성,경상남도 창원시 성산구,10.8
2024,3,30대 남성,경상남도 창원시 성산구,10.1
2024,3,40대 남성,경상남도 창원시 성산구,9.1
2024,3,60대 남성,경상남도 창원시 성산구,8.9
2024,3,20대 남성,경상남도 창원시 성산구,8.8
2024,3,40대 여성,경상남도 창원시 성산구,6.9
2024,3,30대 여성,경상남도 창원시 성산구,6.8
2024,3,60대 여성,경상남도 창원시 성산구,6.7
2024,3,20대 여성,경상남도 창원시 성산구,6.7
2024,3,10대 남성,경상남도 창원시 성산구,4.1
2024,3,10대 여성,경상남도 창원시 성산구,3.7
2024,3,70대 이상 남성,경상남도 창원시 성산구,2.3
2024,3,70대 이상 여성,경상남도 창원시 성산구,2.0
2024,3,10대 미만 여성,경상남도 창원시 성산구,0.6
2024,3,10대 미만 남성,경상남도 창원시 성산구,0.6
