year,month,성/연령,지역명,비율
2024,5,30대 남성,경기도 수원시 권선구,11.2
2024,5,50대 남성,경기도 수원시 권선구,10.1
2024,5,50대 여성,경기도 수원시 권선구,9.5
2024,5,40대 남성,경기도 수원시 권선구,9.5
2024,5,30대 여성,경기도 수원시 권선구,8.6
2024,5,20대 남성,경기도 수원시 권선구,8.1
2024,5,60대 남성,경기도 수원시 권선구,8.1
2024,5,40대 여성,경기도 수원시 권선구,7.5
2024,5,60대 여성,경기도 수원시 권선구,7.3
2024,5,20대 여성,경기도 수원시 권선구,7.2
2024,5,70대 이상 여성,경기도 수원시 권선구,3.0
2024,5,70대 이상 남성,경기도 수원시 권선구,3.0
2024,5,10대 남성,경기도 수원시 권선구,2.8
2024,5,10대 여성,경기도 수원시 권선구,2.8
2024,5,10대 미만 여성,경기도 수원시 권선구,0.7
2024,5,10대 미만 남성,경기도 수원시 권선구,0.7
