year,month,성/연령,지역명,비율
2024,8,20대 남성,강원특별자치도 고성군,10.5
2024,8,50대 남성,강원특별자치도 고성군,10.1
2024,8,40대 남성,강원특별자치도 고성군,9.8
2024,8,60대 남성,강원특별자치도 고성군,9.0
2024,8,50대 여성,강원특별자치도 고성군,8.4
2024,8,40대 여성,강원특별자치도 고성군,8.3
2024,8,30대 남성,강원특별자치도 고성군,8.2
2024,8,30대 여성,강원특별자치도 고성군,7.6
2024,8,60대 여성,강원특별자치도 고성군,7.4
2024,8,20대 여성,강원특별자치도 고성군,5.0
2024,8,10대 남성,강원특별자치도 고성군,4.2
2024,8,70대 이상 남성,강원특별자치도 고성군,3.6
2024,8,70대 이상 여성,강원특별자치도 고성군,3.2
2024,8,10대 여성,강원특별자치도 고성군,2.9
2024,8,10대 미만 여성,강원특별자치도 고성군,1.0
2024,8,10대 미만 남성,강원특별자치도 고성군,0.9
