year,month,성/연령,지역명,비율
2024,8,50대 남성,충청북도 청주시 청원구,10.2
2024,8,20대 남성,충청북도 청주시 청원구,10.0
2024,8,30대 남성,충청북도 청주시 청원구,9.7
2024,8,40대 남성,충청북도 청주시 청원구,8.8
2024,8,50대 여성,충청북도 청주시 청원구,8.8
2024,8,60대 남성,충청북도 청주시 청원구,8.1
2024,8,20대 여성,충청북도 청주시 청원구,7.9
2024,8,30대 여성,충청북도 청주시 청원구,7.0
2024,8,40대 여성,충청북도 청주시 청원구,6.9
2024,8,60대 여성,충청북도 청주시 청원구,6.7
2024,8,10대 남성,충청북도 청주시 청원구,4.0
2024,8,10대 여성,충청북도 청주시 청원구,3.8
2024,8,70대 이상 남성,충청북도 청주시 청원구,3.3
2024,8,70대 이상 여성,충청북도 청주시 청원구,3.3
2024,8,10대 미만 여성,충청북도 청주시 청원구,0.9
2024,8,10대 미만 남성,충청북도 청주시 청원구,0.7
