year,month,성/연령,지역명,비율
2025,1,50대 남성,경기도 용인시 처인구,10.9
2025,1,40대 남성,경기도 용인시 처인구,10.0
2025,1,30대 남성,경기도 용인시 처인구,9.9
2025,1,50대 여성,경기도 용인시 처인구,9.3
2025,1,60대 남성,경기도 용인시 처인구,8.7
2025,1,20대 남성,경기도 용인시 처인구,8.4
2025,1,40대 여성,경기도 용인시 처인구,7.5
2025,1,30대 여성,경기도 용인시 처인구,7.1
2025,1,60대 여성,경기도 용인시 처인구,6.7
2025,1,20대 여성,경기도 용인시 처인구,6.6
2025,1,10대 남성,경기도 용인시 처인구,3.6
2025,1,10대 여성,경기도 용인시 처인구,3.5
2025,1,70대 이상 남성,경기도 용인시 처인구,3.2
2025,1,70대 이상 여성,경기도 용인시 처인구,3.1
2025,1,10대 미만 여성,경기도 용인시 처인구,0.8
2025,1,10대 미만 남성,경기도 용인시 처인구,0.7
