year,month,성/연령,지역명,비율
2025,3,30대 남성,충청북도 청주시 흥덕구,11.0
2025,3,50대 남성,충청북도 청주시 흥덕구,10.5
2025,3,40대 남성,충청북도 청주시 흥덕구,9.3
2025,3,20대 남성,충청북도 청주시 흥덕구,9.1
2025,3,50대 여성,충청북도 청주시 흥덕구,8.9
2025,3,60대 남성,충청북도 청주시 흥덕구,8.2
2025,3,20대 여성,충청북도 청주시 흥덕구,8.1
2025,3,30대 여성,충청북도 청주시 흥덕구,7.7
2025,3,40대 여성,충청북도 청주시 흥덕구,6.7
2025,3,60대 여성,충청북도 청주시 흥덕구,6.3
2025,3,10대 남성,충청북도 청주시 흥덕구,3.7
2025,3,10대 여성,충청북도 청주시 흥덕구,3.6
2025,3,70대 이상 남성,충청북도 청주시 흥덕구,2.7
2025,3,70대 이상 여성,충청북도 청주시 흥덕구,2.7
2025,3,10대 미만 여성,충청북도 청주시 흥덕구,0.8
2025,3,10대 미만 남성,충청북도 청주시 흥덕구,0.7
