year,month,성/연령,지역명,비율
2025,4,30대 남성,충청북도 청주시 흥덕구,11.4
2025,4,50대 남성,충청북도 청주시 흥덕구,11.0
2025,4,40대 남성,충청북도 청주시 흥덕구,9.8
2025,4,50대 여성,충청북도 청주시 흥덕구,9.3
2025,4,60대 남성,충청북도 청주시 흥덕구,8.8
2025,4,20대 남성,충청북도 청주시 흥덕구,8.5
2025,4,30대 여성,충청북도 청주시 흥덕구,7.8
2025,4,20대 여성,충청북도 청주시 흥덕구,7.1
2025,4,60대 여성,충청북도 청주시 흥덕구,6.9
2025,4,40대 여성,충청북도 청주시 흥덕구,6.7
2025,4,70대 이상 남성,충청북도 청주시 흥덕구,3.2
2025,4,70대 이상 여성,충청북도 청주시 흥덕구,3.0
2025,4,10대 남성,충청북도 청주시 흥덕구,2.7
2025,4,10대 여성,충청북도 청주시 흥덕구,2.6
2025,4,10대 미만 여성,충청북도 청주시 흥덕구,0.7
2025,4,10대 미만 남성,충청북도 청주시 흥덕구,0.6
