year,month,성/연령,지역명,비율
2025,7,50대 남성,경기도 수원시 장안구,9.8
2025,7,50대 여성,경기도 수원시 장안구,9.7
2025,7,30대 남성,경기도 수원시 장안구,9.4
2025,7,60대 남성,경기도 수원시 장안구,8.5
2025,7,40대 남성,경기도 수원시 장안구,8.4
2025,7,20대 남성,경기도 수원시 장안구,8.3
2025,7,30대 여성,경기도 수원시 장안구,7.8
2025,7,60대 여성,경기도 수원시 장안구,7.8
2025,7,20대 여성,경기도 수원시 장안구,7.5
2025,7,40대 여성,경기도 수원시 장안구,6.8
2025,7,70대 이상 여성,경기도 수원시 장안구,4.1
2025,7,70대 이상 남성,경기도 수원시 장안구,3.8
2025,7,10대 남성,경기도 수원시 장안구,3.7
2025,7,10대 여성,경기도 수원시 장안구,3.5
2025,7,10대 미만 여성,경기도 수원시 장안구,0.5
2025,7,10대 미만 남성,경기도 수원시 장안구,0.4
