year,month,성/연령,지역명,비율
2025,9,50대 남성,경기도 고양시 덕양구,9.9
2025,9,50대 여성,경기도 고양시 덕양구,9.5
2025,9,30대 남성,경기도 고양시 덕양구,9.3
2025,9,40대 남성,경기도 고양시 덕양구,9.1
2025,9,60대 남성,경기도 고양시 덕양구,9.0
2025,9,30대 여성,경기도 고양시 덕양구,8.5
2025,9,60대 여성,경기도 고양시 덕양구,8.0
2025,9,40대 여성,경기도 고양시 덕양구,7.7
2025,9,20대 남성,경기도 고양시 덕양구,6.3
2025,9,20대 여성,경기도 고양시 덕양구,6.1
2025,9,70대 이상 여성,경기도 고양시 덕양구,4.5
2025,9,70대 이상 남성,경기도 고양시 덕양구,4.2
2025,9,10대 여성,경기도 고양시 덕양구,3.4
2025,9,10대 남성,경기도 고양시 덕양구,3.4
2025,9,10대 미만 여성,경기도 고양시 덕양구,0.6
2025,9,10대 미만 남성,경기도 고양시 덕양구,0.5
