year,month,성/연령,지역명,비율
2025,9,50대 남성,경기도 성남시 수정구,10.4
2025,9,30대 남성,경기도 성남시 수정구,10.1
2025,9,40대 남성,경기도 성남시 수정구,9.7
2025,9,60대 남성,경기도 성남시 수정구,8.7
2025,9,50대 여성,경기도 성남시 수정구,8.4
2025,9,30대 여성,경기도 성남시 수정구,8.2
2025,9,20대 남성,경기도 성남시 수정구,8.0
2025,9,60대 여성,경기도 성남시 수정구,7.6
2025,9,20대 여성,경기도 성남시 수정구,7.5
2025,9,40대 여성,경기도 성남시 수정구,6.8
2025,9,70대 이상 여성,경기도 성남시 수정구,4.1
2025,9,70대 이상 남성,경기도 성남시 수정구,3.9
2025,9,10대 여성,경기도 성남시 수정구,3.0
2025,9,10대 남성,경기도 성남시 수정구,2.8
2025,9,10대 미만 여성,경기도 성남시 수정구,0.5
2025,9,10대 미만 남성,경기도 성남시 수정구,0.4
