year,month,지표 코드,지표명,지표 순위값,지역명
2025,9,1,방문자유입,56,평택시
2025,9,2,숙박방문자 비율,26,평택시
2025,9,3,체류시간,27,평택시
2025,9,4,목적지 검색량,23,평택시
2025,9,5,관광소비,31,평택시
2025,9,1,방문자유입,57,용인시 처인구
2025,9,2,숙박방문자 비율,43,용인시 처인구
2025,9,3,체류시간,72,용인시 처인구
2025,9,4,목적지 검색량,10,용인시 처인구
2025,9,5,관광소비,24,용인시 처인구
2025,9,1,방문자유입,64,파주시
2025,9,2,숙박방문자 비율,46,파주시
2025,9,3,체류시간,78,파주시
2025,9,4,목적지 검색량,6,파주시
2025,9,5,관광소비,25,파주시
2025,9,1,방문자유입,62,김포시
2025,9,2,숙박방문자 비율,68,김포시
2025,9,3,체류시간,103,김포시
2025,9,4,목적지 검색량,14,김포시
2025,9,5,관광소비,21,김포시
