year,month,업종중분류명,업체명,방문자수,순위
2024,4,음식,일산칼국수/본점,39.0,1
2024,4,음식,포레스트아웃팅스/일산본점,36.0,2
2024,4,음식,가나안덕/일산본점,26.0,3
2024,4,음식,설문커피,16.0,4
2024,4,음식,일산생갈비/풍동점,15.0,5
2024,4,음식,옐로커피,14.0,6
2024,4,음식,메밀꽃이피었습니다/일산본점,14.0,7
2024,4,음식,등촌샤브칼국수/일산본점,12.0,8
2024,4,음식,르돌치1946/성석점,11.0,9
2024,4,음식,쿠우쿠우/일산호수공원점,10.0,10
2024,4,쇼핑,코스트코홀세일/일산점,180.0,1
2024,4,쇼핑,라페스타,87.0,2
2024,4,쇼핑,이마트/풍산점,72.0,3
2024,4,쇼핑,롯데백화점/일산점,50.0,4
2024,4,쇼핑,벨라시타,47.0,5
2024,4,쇼핑,뉴코아아울렛/일산점,39.0,6
2024,4,쇼핑,홈플러스/일산점,20.0,7
2024,4,쇼핑,해태쇼핑타운,10.0,8
2024,4,쇼핑,홈플러스/고양터미널점,6.0,9
2024,4,쇼핑,이마트/일산점,6.0,10
2024,4,문화관광,일산호수공원,188.0,1
2024,4,문화관광,CGV/일산,19.0,2
2024,4,문화관광,AOA풋살스타디움,11.0,3
2024,4,문화관광,중산체육공원,10.0,4
2024,4,문화관광,롯데시네마/라페스타,8.0,5
2024,4,문화관광,CGV/고양백석,6.0,6
2024,4,문화관광,고양국제꽃박람회,6.0,7
2024,4,문화관광,고양꽃전시관,5.0,8
2024,4,문화관광,고양아람누리,5.0,9
2024,4,문화관광,고양장항야구장,4.0,10
