year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,8,음식,한식,66.7,45.8
2024,8,음식,음식점기타,66.7,0.4
2024,8,음식,외국식,66.7,8.6
2024,8,음식,간이음식,66.7,18.9
2024,8,음식,전문음식,66.7,13.7
2024,8,음식,카페/찻집,66.7,12.5
2024,8,문화관광,도시공원,19.3,4.3
2024,8,문화관광,레저스포츠시설,19.3,4.7
2024,8,문화관광,전시시설,19.3,73.2
2024,8,문화관광,테마공원,19.3,12.9
2024,8,문화관광,기타문화관광지,19.3,0.2
2024,8,문화관광,공연시설,19.3,4.7
2024,8,쇼핑,기타쇼핑시설,6.6,13.7
2024,8,쇼핑,쇼핑몰,6.6,45.7
2024,8,쇼핑,시장,6.6,40.6
2024,8,숙박,모텔,4.7,69.5
2024,8,숙박,캠핑,4.7,4.5
2024,8,숙박,호텔,4.7,26.1
2024,8,레저스포츠,수상레저스포츠,2.0,17.6
2024,8,레저스포츠,육상레저스포츠,2.0,15.1
2024,8,레저스포츠,기타레저스포츠,2.0,67.2
2024,8,체험관광,농/산/어촌체험,0.5,100.0
2024,8,자연관광,자연경관(산),0.1,100.0
2024,8,역사관광,종교성지,0.0,100.0
