year,month,유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
2024,10,음식,간이음식,62.6,7.0
2024,10,음식,외국식,62.6,8.8
2024,10,음식,음식점기타,62.6,0.3
2024,10,음식,전문음식,62.6,18.9
2024,10,음식,카페/찻집,62.6,25.2
2024,10,음식,한식,62.6,39.6
2024,10,문화관광,복합관광시설,13.7,8.4
2024,10,문화관광,테마공원,13.7,12.4
2024,10,문화관광,전시시설,13.7,7.1
2024,10,문화관광,레저스포츠시설,13.7,2.9
2024,10,문화관광,랜드마크관광,13.7,3.9
2024,10,문화관광,도시공원,13.7,41.3
2024,10,문화관광,도시/지역문화관광,13.7,0.1
2024,10,문화관광,기타문화관광지,13.7,4.3
2024,10,문화관광,공연시설,13.7,19.7
2024,10,기타관광,기타관광,9.2,100.0
2024,10,레저스포츠,육상레저스포츠,6.7,82.2
2024,10,레저스포츠,수상레저스포츠,6.7,4.1
2024,10,레저스포츠,기타레저스포츠,6.7,13.7
2024,10,숙박,모텔,3.0,25.2
2024,10,숙박,호텔,3.0,32.7
2024,10,숙박,펜션/민박,3.0,0.1
2024,10,숙박,캠핑,3.0,41.9
2024,10,역사관광,역사유적지,1.8,39.0
2024,10,역사관광,종교성지,1.8,61.0
2024,10,자연관광,자연경관(산),1.5,27.3
2024,10,자연관광,자연경관(하천/해양),1.5,7.2
2024,10,자연관광,자연공원,1.5,65.5
2024,10,쇼핑,시장,1.2,56.7
2024,10,쇼핑,쇼핑몰,1.2,21.5
2024,10,쇼핑,기타쇼핑시설,1.2,21.8
2024,10,체험관광,농/산/어촌체험,0.3,88.9
2024,10,체험관광,웰니스관광,0.3,11.1
