year,month,업종중분류명,업체명,방문자수,순위
2025,4,음식,스타벅스/파주야당DT점,22.0,1
2025,4,음식,쟈빠따,22.0,2
2025,4,음식,레드파이프,18.0,3
2025,4,음식,생선굽는마을,16.0,4
2025,4,음식,뮌스터담,15.0,5
2025,4,음식,샤브20/파주운정점,13.0,6
2025,4,음식,강민주의청보리밥,10.0,7
2025,4,음식,문지리535,10.0,8
2025,4,음식,아레볼,9.0,9
2025,4,음식,청담추어정/심학산점,8.0,10
2025,4,쇼핑,롯데프리미엄아울렛/파주점,80.0,1
2025,4,쇼핑,신세계프리미엄아울렛/파주점,72.0,2
2025,4,쇼핑,이마트/파주운정점,70.0,3
2025,4,쇼핑,홈플러스/파주운정점,49.0,4
2025,4,쇼핑,이마트/파주점,11.0,5
2025,4,쇼핑,홈플러스/파주문산점,6.0,6
2025,4,쇼핑,운정가구단지,3.0,7
2025,4,쇼핑,문산자유시장,3.0,8
2025,4,쇼핑,신세계팩토리스토어/신세계프리미엄아울렛파주점,2.0,9
2025,4,쇼핑,금촌전통시장,2.0,10
2025,4,문화관광,운정호수공원,19.0,1
2025,4,문화관광,CGV/파주야당,13.0,2
2025,4,문화관광,평화누리,9.0,3
2025,4,문화관광,운정건강공원,8.0,4
2025,4,문화관광,메가박스/파주운정,7.0,5
2025,4,문화관광,퍼스트가든,6.0,6
2025,4,문화관광,교하체육공원,5.0,7
2025,4,문화관광,율곡수목원,5.0,8
2025,4,문화관광,자유로자동차극장,4.0,9
2025,4,문화관광,오두산통일전망대,4.0,10
