year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,5,1,경기도,파주시,임진각관광지,174411,174411.0
2024,5,2,경기도,파주시,벽초지수목원,41387,41387.0
2024,5,3,경기도,파주시,통일전망대,39778,39778.0
2024,5,4,경기도,파주시,헤이리예술마을,34700,34700.0
2024,5,5,경기도,파주시,경기미래교육 파주캠퍼스,31483,31483.0
2024,5,6,경기도,파주시,퍼스트가든,28315,28315.0
2024,5,7,경기도,파주시,공릉관광지(하니랜드),18607,18607.0
2024,5,8,경기도,파주시,제3땅굴,13461,13461.0
2024,5,9,경기도,파주시,서서울컨트리클럽,12720,12720.0
2024,5,10,경기도,파주시,파주놀이구름,12155,12155.0
2024,5,11,경기도,파주시,임진각평화누리캠핑장,9266,9266.0
2024,5,12,경기도,파주시,서원밸리골프클럽,8653,8653.0
2024,5,13,경기도,파주시,베스트밸리,6642,6642.0
2024,5,14,경기도,파주시,황희선생유적지,6448,6448.0
2024,5,15,경기도,파주시,파주삼릉,5506,5506.0
2024,5,16,경기도,파주시,황포돛배,3949,3949.0
2024,5,17,경기도,파주시,쇠꼴마을,2817,2817.0
2024,5,18,경기도,파주시,파주장릉,2462,2462.0
2024,5,19,경기도,파주시,우농타조농장,2015,2015.0
2024,5,20,경기도,파주시,율곡선생유적지,1981,1981.0
2024,5,21,경기도,파주시,동화힐링캠핑장,1672,1672.0
2024,5,22,경기도,파주시,파주임실치즈스쿨,1442,1442.0
2024,5,23,경기도,파주시,산머루농원,799,799.0
2024,5,24,경기도,파주시,콩세유미술관,707,707.0
2024,5,25,경기도,파주시,아트린뮤지움,398,398.0
2024,5,26,경기도,파주시,영집궁시박물관,172,172.0
2024,5,27,경기도,파주시,두루뫼박물관,126,126.0
