year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객총계
2024,6,1,경기도,파주시,임진각관광지,172944,172944.0
2024,6,2,경기도,파주시,제3땅굴,49297,49297.0
2024,6,3,경기도,파주시,통일전망대,40752,40752.0
2024,6,4,경기도,파주시,헤이리예술마을,38380,38380.0
2024,6,5,경기도,파주시,벽초지수목원,19792,19792.0
2024,6,6,경기도,파주시,퍼스트가든,17855,17855.0
2024,6,7,경기도,파주시,경기미래교육 파주캠퍼스,14121,14121.0
2024,6,8,경기도,파주시,파주놀이구름,13989,13989.0
2024,6,9,경기도,파주시,서서울컨트리클럽,12868,12868.0
2024,6,10,경기도,파주시,공릉관광지(하니랜드),9865,9865.0
2024,6,11,경기도,파주시,서원밸리골프클럽,9285,9285.0
2024,6,12,경기도,파주시,임진각평화누리캠핑장,8201,8201.0
2024,6,13,경기도,파주시,베스트밸리,6902,6902.0
2024,6,14,경기도,파주시,파주삼릉,4836,4836.0
2024,6,15,경기도,파주시,황희선생유적지,4761,4761.0
2024,6,16,경기도,파주시,황포돛배,4686,4686.0
2024,6,17,경기도,파주시,쇠꼴마을,2471,2471.0
2024,6,18,경기도,파주시,우농타조농장,2341,2341.0
2024,6,19,경기도,파주시,파주장릉,2189,2189.0
2024,6,20,경기도,파주시,율곡선생유적지,2058,2058.0
2024,6,21,경기도,파주시,동화힐링캠핑장,1532,1532.0
2024,6,22,경기도,파주시,산머루농원,1381,1381.0
2024,6,23,경기도,파주시,파주임실치즈스쿨,975,975.0
2024,6,24,경기도,파주시,아트린뮤지움,670,670.0
2024,6,25,경기도,파주시,콩세유미술관,653,653.0
2024,6,26,경기도,파주시,영집궁시박물관,256,256.0
2024,6,27,경기도,파주시,두루뫼박물관,65,65.0
