year,month,순위,관광지ID,업소명,분류
2024,10,1,9a365285c5cef5010a2e613e614a8134,홍익돈까스파주금릉점,전문음식
2024,10,2,3b6e33ee7e35b5a32d5f48f820a2cd7d,쿠우쿠우파주운정점,전문음식
2024,10,3,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
2024,10,4,27e998ff4d9087a557a7cc396ed375ca,행운식당,한식
2024,10,5,e9fccd90097c65312c56d9147bb8eac0,육대장 파주문산,한식
2024,10,6,5e768534b8f8c34d3eaa9bcf52c3e004,모쿠슈라2호점,카페/찻집
2024,10,7,37f59296b4e9cad24e9bc1a562a5e5f7,애슐리퀸즈파주운정점,전문음식
2024,10,8,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
2024,10,9,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
2024,10,10,96f826713a581a841eec46c38b21ffc6,명륜진사갈비파주가람점,한식
2024,10,11,394096aab09672b056bebd8be9a0918f,아레볼,카페/찻집
2024,10,12,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
2024,10,13,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
2024,10,14,1d2e9e181274168d9129f597d54d9709,이디야커피파주목동점,카페/찻집
2024,10,15,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
2024,10,16,498d0856cce0cb5f862aff0b2d18fcd5,쟈빠따,카페/찻집
2024,10,17,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
2024,10,18,397b68e741d34d0a1b93d140d40d9b7a,초원식당[한식],한식
2024,10,19,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
2024,10,20,e1157850046485ff86e09011edfe46ad,카페순못길,카페/찻집
2024,10,21,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
2024,10,22,1f4f693f7a8a67a751735a0629c4b9c9,샤브20파주운정점,전문음식
2024,10,22,f8d39775f14f8046f6ae17b310cd7d03,꼬들,한식
2024,10,24,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
2024,10,25,c00cb8f6714e8aadacc2e58fd010693e,산내칡냉면,한식
2024,10,26,631d0ecd1a9a40584a95641686b71106,등촌샤브칼국수교하점,한식
2024,10,27,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
2024,10,28,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
2024,10,29,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
2024,10,30,0cb2f59c5401bae40a5c3d3b7357f77e,팥티오운정점,카페/찻집
2024,10,31,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
2024,10,31,ff14b9954b32f0fec65f89b17f53d223,메가커피파주봉일천점,카페/찻집
2024,10,33,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
