year,month,순위,관광지ID,업소명,분류
2025,4,1,ca5d69dee48c1b93461ebc8491b6184f,문지리535,카페/찻집
2025,4,2,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
2025,4,3,5e768534b8f8c34d3eaa9bcf52c3e004,모쿠슈라2호점,카페/찻집
2025,4,4,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
2025,4,5,357f0f3a1ef39f5f06dde3f2f6cc593e,뮌스터담,카페/찻집
2025,4,6,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
2025,4,7,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
2025,4,8,394096aab09672b056bebd8be9a0918f,아레볼,카페/찻집
2025,4,9,7ef609196aaa77b9e05661c4c3ced6c9,조은도너츠,간이음식
2025,4,10,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
2025,4,11,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
2025,4,12,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
2025,4,13,bad006bbedb44e6e4ef07895a314e7e1,앤드테라스파주점,카페/찻집
2025,4,14,dbc9168a6a836218c8f16ca21ca69aab,말똥도넛디저트타운파주점,카페/찻집
2025,4,15,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
2025,4,16,c3ce179673329f9f3c80fa57913ad561,레드파이프,카페/찻집
2025,4,17,1b74f88b4aa047fcb22167c0b1d0d739,고메스퀘어파주직영점,전문음식
2025,4,18,0a523af3b049c95f180988fd052d9eb3,브릭루즈,카페/찻집
2025,4,19,498d0856cce0cb5f862aff0b2d18fcd5,쟈빠따,카페/찻집
2025,4,20,4b782d88bc6169887ab9283b0cc903c9,피스피스출판단지점,카페/찻집
2025,4,21,e37b6ce6ac8684b377c1e37e473f5cc3,스타벅스파주야당DT점,카페/찻집
2025,4,22,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
2025,4,23,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
2025,4,24,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
2025,4,25,fd7d8928be0215068795e554cf4f0bbf,레드브릿지,카페/찻집
2025,4,26,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
2025,4,27,c9acc7fb5a210fd8436a18acf26b0a63,파주돌짜장[중식],외국식
2025,4,28,a5f56696708a431401b65152a5c46c15,파주뼈칼국수교하제면소,한식
2025,4,29,cbcf11a11d4483e4df3d13be179580c1,원조두지리매운탕본점,한식
2025,4,30,eb0e176527018ed1872b057fc5a0ac42,청종나주곰탕파주본점,한식
2025,4,31,59f77746add04627f8f0895c5489fc78,평양손만두파주운정점,한식
2025,4,32,1da2b8cd21c2120c64604e65662c95e0,스타벅스파주문산DT점,카페/찻집
2025,4,32,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
2025,4,34,8abd20e849a08444ed3339238935e781,파주닭국수,한식
2025,4,35,af4f35cfdf6e6998842e33bf7a31330f,박가삼거리부대찌개,전문음식
2025,4,36,1f4f693f7a8a67a751735a0629c4b9c9,샤브20파주운정점,전문음식
2025,4,37,bb8c205aeed63783628f06722babb912,수라한식뷔페,전문음식
2025,4,38,a248017b46acb6a04a5973c73c097c4b,막스시오지스페이스,카페/찻집
2025,4,39,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
2025,4,40,b62dda58c79327c107d43dc30ba70ea0,바리루스,카페/찻집
2025,4,41,60a6e729b516ac4d5beefe498c318762,파주방축골한우마을,한식
2025,4,42,62138cde01f1ce7f817b2d68e203387d,황인용뮤직스페이스카메라타,카페/찻집
2025,4,43,a6f4edd7a93e34997d8d580de003a6a1,류재은베이커리본점,간이음식
2025,4,44,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
2025,4,45,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
2025,4,46,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
2025,4,47,f1d0688fd5bc1157bed02c6affde01d7,심학산두부마을,한식
2025,4,48,ef3d7596e0d90b9615d64f0481abefcb,타샤의정원[한식],한식
2025,4,49,96b3759a49fc73efddf7c74ce0c88188,아이노스,카페/찻집
2025,4,50,ebb2420d413fa8b9bb75802b554ca422,궁중본영의정인절미떡집,간이음식
2025,4,51,f316eb563415769d11e988905cf8062e,207FEET파주본점,전문음식
2025,4,52,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
2025,4,53,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
2025,4,54,d6879128bdfe90f89994a04b1775bf8f,청담추어정심학산점,한식
2025,4,54,4aaee966bd76a8d4f9ce7ad11826b9a4,토향,한식
2025,4,56,62d7b588d14fe671dc7b24c6e05fcd61,내사랑동까스,전문음식
2025,4,57,e6d011051a1014fd263c3b639797c9c7,출렁다리쌈밥마장호수본점,한식
2025,4,58,5585a33386cbad1fca06e666180969ee,르븨밀크본점,카페/찻집
2025,4,59,174a3e4259aead0f3aa7d48fd04b67c5,자유로멍놀러와,카페/찻집
2025,4,60,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
2025,4,61,5dfa8092f22ad2728b6f2e7c2c47cd2c,능골매운탕,한식
2025,4,62,3c0a04317641aafee2b0933d53fc7cb4,심학산들꽃쌈밥,한식
2025,4,63,8388c44321d9e5659df7cee7807f10db,메주꽃[한식],한식
2025,4,64,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
2025,4,65,9a47e6d29414f4fc652f1e727b9d4c4d,모쿠슈라1호점,전문음식
2025,4,66,850f95e73ff69b5b0dd61f8bd002eee7,오두산막국수본점,한식
2025,4,67,6fbd5ff085952a5abac284b6883e30fa,밀크북,카페/찻집
2025,4,68,0cb2f59c5401bae40a5c3d3b7357f77e,팥티오운정점,카페/찻집
2025,4,69,737857df34f7b244b683799e660d9fd7,심학산장어,전문음식
2025,4,70,52c607075a6901d9c6ffb28c4a3fc6af,연리희재,카페/찻집
2025,4,71,43db5493f2a1a61725d022dcb3922ba4,자반고파주점,한식
2025,4,72,874f6b4ffacf06fdcfa7f34a298f2b0f,샤브올데이파주동패점,전문음식
2025,4,73,de2dcfc2503d8d5518c6b1264d094f64,은아원,한식
2025,4,74,5384b6a1aad0a2c1b307624f937c8a4e,따순기미,카페/찻집
2025,4,74,efdd66797bcec11d0fe35d032b88e309,파주장단콩두부,한식
2025,4,76,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
2025,4,77,597fcf48dd066b8d4d406107d1d4ad11,장단콩두부촌,한식
2025,4,78,37f59296b4e9cad24e9bc1a562a5e5f7,애슐리퀸즈파주운정점,전문음식
2025,4,79,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
2025,4,80,ffb6768bcd7f500e240ae4e0ce69b5e3,가림시골밥상,한식
2025,4,81,90a0af0fbccebf1be0a853b80a7e42f0,두둑한한판,한식
2025,4,82,cd7ef14bb56e71064a6de78abd95f8b1,샤브올데이파주봉일천점,전문음식
2025,4,83,54c01714f7f14271b299cb73e3b53fa2,농가,한식
2025,4,84,bc18430336aea383199fd2b1fb97d906,도토리정원파주헤이리점,한식
2025,4,85,af37ee359c24e96d733f25297b172b9e,리파크,카페/찻집
2025,4,85,41a82831cde9fe0e9fdedd16ca40546b,강민주의청보리밥,한식
2025,4,85,e73917451b61a1e04e71b2d45a2386de,콩밭뜰심학산점,한식
2025,4,85,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
2025,4,89,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
2025,4,90,339058995043bb0b0e60556070753379,산내음파주본점,한식
2025,4,91,491a66e11786052b37caf35aecd4e79b,해브펀카페베이커리,카페/찻집
2025,4,92,9108f498e83c548fa2d745f4d6b5a2f1,뇌조리국수집,한식
2025,4,93,1f2772d4877a95a4ede334925f6639ba,공간채향,카페/찻집
2025,4,94,4dadd1c9700b53cc3022d2c0e204e6fb,옛날시골밥상[한식],한식
2025,4,95,446564ed4b13c8331a4a3163ad6f8910,봄담아샤브샤브파주운정점,전문음식
2025,4,96,9c39c1f02eb51ccb4179b835441ef224,흑사당,카페/찻집
2025,4,97,f85e3aabe42aea59f78bb286eddd44ca,미꼬담운정점 [한식],한식
2025,4,98,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
2025,4,99,f3160db88d4f648d12754a9eb846c594,두포리매운탕,한식
2025,4,100,2164e04f5571b4c50f96bcbb9cac1b5b,컴프에비뉴,카페/찻집
