year,month,언어명,관광지명,구분
2025,6,영어권,The 3rd Tunnel (Dorasan Observatory) (제3땅굴),역사관광지
2025,6,영어권,Panmunjeom (Joint Security Area) (판문점),역사관광지
2025,6,영어권,Lotte Paju Premium Outlet (롯데 파주 프리미엄아울렛),쇼핑
2025,6,영어권,Dora Observatory (도라전망대),건축/조형물
2025,6,영어권,Imjingak Resort (파주 임진각(평화누리공원)),역사관광지
2025,6,영어권,Odusan Unification Observatory (오두산 통일전망대),건축/조형물
2025,6,영어권,Camp Greaves DMZ Experience Center (캠프 그리브스),역사관광지
2025,6,영어권,Heyri Art Valley (헤이리 예술마을),체험관광지
2025,6,영어권,Paju Book City (파주출판도시),산업관광지
2025,6,영어권,Shinsegae Simon Paju Premium Outlets (신세계사이먼 파주 프리미엄아울렛),쇼핑
2025,6,영어권,Paju Gamaksan Mountain (감악산 (파주)),자연관광지
2025,6,영어권,Seoul Action School (Martial Arts Center) (서울액션스쿨 (마샬아트센터)),육상 레포츠
2025,6,영어권,Provence Village (프로방스 마을),체험관광지
2025,6,영어권,Dorasan Station (도라산역),역사관광지
2025,6,영어권,Byeokchoji Gardens (벽초지수목원),자연관광지
2025,6,영어권,Museum of Musical Instruments of the World (세계민속악기박물관),문화시설
2025,6,영어권,Paju Bogwangsa Temple (보광사(파주)),역사관광지
2025,6,영어권,Byeokbong Korea Jewelry Museum (벽봉한국장신구박물관),문화시설
2025,6,영어권,Paju Historical Site Related to Yi I (파주이이유적),역사관광지
2025,6,영어권,Paju Unification Park (통일공원(파주)),역사관광지
2025,6,영어권,Picaso Hotel (피카소호텔),숙박시설
2025,6,영어권,Odusanseong Fortress (파주 오두산성),역사관광지
