year,month,언어명,관광지명,구분
2025,7,일본어,第3トンネル（제3땅굴）,역사관광지
2025,7,일본어,ロッテ坡州プレミアムアウトレット（롯데 파주 프리미엄아울렛）,쇼핑
2025,7,일본어,坡州 臨津閣（平和ヌリ公園）（파주 임진각（평화누리공원））,역사관광지
2025,7,일본어,板門店（판문점）,역사관광지
2025,7,일본어,都羅展望台（도라전망대）,건축/조형물
2025,7,일본어,烏頭山統一展望台（오두산 통일전망대）,건축/조형물
2025,7,일본어,ヘイリ芸術村（헤이리 예술마을）,체험관광지
2025,7,일본어,新世界サイモン坡州プレミアムアウトレット（신세계사이먼 파주 프리미엄 아울렛 ）,쇼핑
2025,7,일본어,統一情報化村（통일정보화마을）,역사관광지
2025,7,일본어,韓国近現代史博物館（한국근현대사박물관）,문화시설
2025,7,일본어,都羅山駅（도라산역）,역사관광지
2025,7,일본어,知恵の森（지혜의 숲）,문화시설
2025,7,일본어,坡州出版都市（파주출판도시）,산업관광지
2025,7,일본어,キャンプグリーブス（캠프 그리브스）,역사관광지
2025,7,일본어,プロバンス村（프로방스 마을）,체험관광지
2025,7,일본어,碧草池樹木園（벽초지수목원）,자연관광지
2025,7,일본어,都羅山平和公園（도라산 평화공원）,역사관광지
2025,7,일본어,紺岳山（坡州）（감악산（파주））,자연관광지
2025,7,일본어,坡州 長陵（仁祖、仁烈王后）［ユネスコ世界遺産（文化遺産）］（파주 장릉（인조_인열왕후）[유네스코 세계문화유산]）,역사관광지
2025,7,일본어,Qホテル（Q HOTEL）,숙박시설
2025,7,일본어,坡州 李珥遺跡（파주이이유적）,역사관광지
2025,7,일본어,坡州 烏頭山城（파주 오두산성）,역사관광지
2025,7,일본어,ソウルアクションスクール（マーシャルアーツセンター）（서울액션스쿨（마샬아트센터））,육상 레포츠
2025,7,일본어,世界民俗楽器博物館（세계민속악기박물관）,문화시설
2025,7,일본어,坡州 三陵［ユネスコ世界遺産（文化遺産）］（파주 삼릉［유네스코 세계문화유산］）,역사관광지
2025,7,일본어,花石亭（화석정）,역사관광지
2025,7,일본어,統一公園（坡州）（통일공원（파주））,역사관광지
2025,7,일본어,タイムアンドブレイド博物館（타임앤블레이드 박물관）,문화시설
