year,month,순위,분류,관련 키워드,언급건수
2024,2,1,기타가족,가족,10103
2024,2,2,회사동료,직원,7161
2024,2,3,친구,친구,6749
2024,2,4,친구,친구들,3652
2024,2,5,기타가족,엄마,2368
2024,2,6,싱글,혼자,2258
2024,2,7,부모님,부모,2102
2024,2,8,부모님,부모님,1814
2024,2,9,배우자,남편,1743
2024,2,10,회사동료,직원들,1702
2024,2,11,자녀,학생,1642
2024,2,12,연인,연인,1545
2024,2,13,친구,지인,1372
2024,2,14,기타가족,가정,1235
2024,2,15,회사동료,대리,1200
2024,2,16,부모님,아빠,993
2024,2,17,기타가족,언니,905
2024,2,18,자녀,아들,852
2024,2,19,기타가족,동생,711
2024,2,20,친구,프렌,710
2024,2,21,연인,커플,685
2024,2,22,싱글,혼자서,642
2024,2,23,기타가족,오빠,619
2024,2,24,자녀,자녀,576
2024,2,25,연인,남자친구,562
2024,2,26,자녀,애들,548
2024,2,27,자녀,청소년,546
2024,2,28,부모님,어머니,530
2024,2,29,부모님,할머니,485
2024,2,30,회사동료,차장,445
2024,2,31,회사동료,동료,439
2024,2,32,배우자,신랑,419
2024,2,33,기타가족,이모,380
2024,2,34,부모님,아버지,373
2024,2,35,싱글,홀로,346
2024,2,36,학생,초등학생,343
2024,2,37,배우자,남편이랑,332
2024,2,38,기타가족,동서,330
2024,2,39,기타가족,장인,327
2024,2,40,연인,애인,282
2024,2,41,부모님,어머님,279
2024,2,42,회사동료,부장,260
2024,2,43,기타가족,조카,250
2024,2,44,회사동료,임원,239
2024,2,45,회사동료,직장동료,232
2024,2,46,기타가족,패밀리,230
2024,2,47,배우자,아내,215
2024,2,48,자녀,딸,211
2024,2,49,부모님,할아버지,210
2024,2,50,연인,남친,193
2024,2,51,기타가족,누나,191
2024,2,52,기타가족,형제,181
2024,2,53,학생,대학생,178
2024,2,54,부모님,엄빠,170
2024,2,55,싱글,싱글,168
2024,2,56,기타가족,식구,167
2024,2,57,기타가족,고모,166
2024,2,57,연인,여자친구,166
2024,2,59,기타가족,막내,165
2024,2,60,기타가족,효자,157
2024,2,61,자녀,자식,152
2024,2,62,학생,고등학생,142
2024,2,63,부모님,엄마아빠,140
2024,2,64,배우자,배우자,138
2024,2,65,기타가족,형,135
2024,2,66,기타가족,시댁,131
2024,2,67,배우자,와이프,130
2024,2,68,학생,중학생,129
2024,2,69,기타가족,친척,126
2024,2,70,배우자,부인,125
2024,2,71,학생,초딩,119
2024,2,72,기타가족,온가족,118
2024,2,73,부모님,아버님,116
2024,2,74,기타가족,사촌,111
2024,2,75,부모님,아부지,97
2024,2,75,배우자,신부,97
2024,2,75,친구,칭구,97
2024,2,78,기타가족,자매,95
2024,2,79,학생,고3,90
2024,2,80,연인,남친이,86
2024,2,81,기타가족,삼촌,76
2024,2,82,기타가족,형님,71
2024,2,83,자녀,울애,70
2024,2,83,자녀,장남,70
2024,2,85,자녀,아드님,69
2024,2,86,기타가족,손자,67
2024,2,86,기타가족,며느리,67
2024,2,86,부모님,시부,67
2024,2,89,부모님,아비,66
2024,2,89,자녀,울애기,66
2024,2,91,친구,동창,65
2024,2,92,기타가족,남동생,62
2024,2,93,자녀,딸아이,59
2024,2,94,부모님,친정엄마,58
2024,2,95,기타가족,친지,57
2024,2,95,자녀,우리아이,57
2024,2,97,자녀,딸내미,55
2024,2,97,학생,초3,55
2024,2,99,기타가족,이모님,54
2024,2,99,부모님,외할머니,54
2024,2,101,자녀,미성년자,53
2024,2,101,싱글,나혼자,53
2024,2,103,부모님,모녀,52
2024,2,104,기타가족,손주,51
2024,2,104,기타가족,장모,51
2024,2,106,기타가족,남매,48
2024,2,107,자녀,따님,46
2024,2,107,학생,중2,46
2024,2,109,기타가족,형부,44
2024,2,109,부모님,시부모,44
2024,2,109,연인,여친,44
2024,2,112,부모님,시부모님,43
2024,2,113,기타가족,사위,42
2024,2,113,부모님,어무니,42
2024,2,115,연인,예랑,41
2024,2,115,학생,초1,41
2024,2,115,학생,고2,41
2024,2,118,학생,중1,40
2024,2,119,기타가족,사촌동생,39
2024,2,119,친구,절친,39
2024,2,119,부모님,시어머니,39
2024,2,122,자녀,우리애,36
2024,2,123,부모님,할매,35
2024,2,124,회사동료,사원,34
2024,2,125,기타가족,손녀,33
2024,2,125,기타가족,여동생,33
2024,2,125,학생,중3,33
2024,2,128,부모님,할무니,32
2024,2,128,학생,고딩,32
2024,2,130,자녀,딸래미,31
2024,2,131,자녀,우리딸,30
2024,2,131,싱글,나홀로,30
2024,2,131,부모님,조부모,30
2024,2,134,부모님,장모님,29
2024,2,134,배우자,서방,29
2024,2,134,배우자,남편님,29
2024,2,137,배우자,예신,28
2024,2,137,자녀,워킹맘,28
2024,2,137,자녀,저희아이,28
2024,2,137,자녀,큰아이,28
2024,2,141,기타가족,막둥이,27
2024,2,141,학생,초2,27
2024,2,141,배우자,예랑이,27
2024,2,141,자녀,우리아들,27
2024,2,141,부모님,울엄마,27
2024,2,141,학생,초4,27
2024,2,147,자녀,딸램,25
2024,2,148,부모님,할머님,23
2024,2,149,학생,중딩,22
2024,2,150,배우자,남표니,21
2024,2,150,기타가족,차남,21
2024,2,150,배우자,남펴니,21
2024,2,150,기타가족,태아,21
2024,2,154,자녀,우리아이들,20
2024,2,155,부모님,엄니,19
2024,2,155,부모님,외할아버지,19
2024,2,157,자녀,큰아들,18
2024,2,157,자녀,둥이들,18
2024,2,157,기타가족,외삼촌,18
2024,2,157,자녀,큰딸,18
2024,2,157,배우자,집사람,18
2024,2,157,자녀,외동,18
2024,2,163,기타가족,친정식구,17
2024,2,163,자녀,아들래미,17
2024,2,163,부모님,할부지,17
2024,2,166,기타가족,효녀,16
2024,2,166,기타가족,친정식구들,16
2024,2,166,자녀,아들램,16
2024,2,166,친구,베프,16
2024,2,170,기타가족,장손,15
2024,2,170,연인,남치니,15
2024,2,172,기타가족,혈육,14
2024,2,172,배우자,남푠,14
2024,2,172,자녀,장녀,14
2024,2,175,학생,초5,13
2024,2,175,자녀,큰애,13
2024,2,175,부모님,시어머님,13
2024,2,175,회사동료,회사사람,13
2024,2,179,기타가족,새언니,12
2024,2,179,학생,초6,12
2024,2,179,부모님,어무이,12
2024,2,179,기타가족,시누,12
2024,2,179,기타가족,시동생,12
2024,2,179,부모님,장인어른,12
2024,2,179,부모님,시아버지,12
2024,2,186,부모님,친정어머니,11
2024,2,186,부모님,시모,11
2024,2,186,기타가족,가족모두,11
2024,2,186,배우자,저희남편,11
2024,2,186,기타가족,이모님들,11
2024,2,186,자녀,맏아들,11
2024,2,186,친구,룸메,11
2024,2,186,학생,재수생,11
2024,2,194,부모님,할배,10
2024,2,194,자녀,우리애들,10
2024,2,194,회사동료,여직원,10
2024,2,194,회사동료,회사동료,10
2024,2,198,부모님,할아버님,9
2024,2,198,연인,썸남,9
2024,2,198,부모님,시아버님,9
2024,2,198,자녀,울아들,9
2024,2,198,자녀,아들딸,9
2024,2,198,기타가족,처제,9
2024,2,198,배우자,와이프님,9
2024,2,205,자녀,저희딸,8
2024,2,205,부모님,친정아버지,8
2024,2,205,자녀,외동딸,8
2024,2,205,자녀,딸냄,8
2024,2,205,기타가족,손주들,8
2024,2,205,부모님,증조부,8
2024,2,205,배우자,마눌,8
2024,2,205,기타가족,사돈,8
2024,2,213,부모님,시엄니,7
2024,2,213,배우자,마님,7
2024,2,213,배우자,애엄마,7
2024,2,213,자녀,아들내미,7
2024,2,213,연인,예비신부,7
2024,2,218,배우자,마눌님,6
2024,2,218,자녀,아들녀석,6
2024,2,218,친구,프렌드,6
2024,2,218,기타가족,덩생,6
2024,2,218,배우자,우리신랑,6
2024,2,218,기타가족,올케,6
2024,2,218,기타가족,시댁식구,6
2024,2,218,기타가족,시누이,6
2024,2,218,부모님,할아부지,6
2024,2,218,자녀,저희애,6
2024,2,228,기타가족,숙부,5
2024,2,228,자녀,울딸,5
2024,2,228,기타가족,울언니,5
2024,2,228,배우자,마누라,5
2024,2,228,배우자,주말부부,5
2024,2,228,친구,남사친,5
2024,2,228,부모님,시엄마,5
2024,2,228,자녀,저희아들,5
2024,2,228,자녀,둘째아들,5
2024,2,228,자녀,외아들,5
2024,2,238,자녀,울애들,4
2024,2,238,부모님,양가부모님,4
2024,2,238,부모님,증조모,4
2024,2,238,연인,썸녀,4
2024,2,238,자녀,저희애들,4
2024,2,238,자녀,차녀,4
2024,2,238,학생,고삼,4
2024,2,238,연인,남친님,4
2024,2,238,연인,여친님,4
2024,2,238,기타가족,맏며느리,4
2024,2,238,부모님,친정아빠,4
2024,2,238,자녀,첫아이,4
2024,2,238,자녀,큰놈,4
2024,2,238,자녀,첫째딸,4
2024,2,238,배우자,울신랑,4
2024,2,238,기타가족,시댁식구들,4
2024,2,238,자녀,둘째아이,4
2024,2,238,자녀,삼둥이,4
2024,2,256,배우자,애아빠,3
2024,2,256,자녀,젖먹이,3
2024,2,256,연인,남친몬,3
2024,2,256,기타가족,손자들,3
2024,2,256,배우자,남의편,3
2024,2,256,자녀,울아이,3
2024,2,256,연인,예비신랑,3
2024,2,256,부모님,셤니,3
2024,2,256,배우자,영감님,3
2024,2,256,자녀,둘째딸,3
2024,2,256,친구,룸메이트,3
2024,2,267,연인,약혼녀,2
2024,2,267,자녀,직장맘,2
2024,2,267,자녀,첫째아들,2
2024,2,267,부모님,외할무니,2
2024,2,267,부모님,할멈,2
2024,2,267,부모님,친정엄니,2
2024,2,267,배우자,아이아빠,2
2024,2,267,자녀,첫째아이,2
2024,2,267,자녀,초보맘,2
2024,2,267,친구,여사친,2
2024,2,267,부모님,시어미,2
2024,2,267,기타가족,외손자,2
2024,2,267,기타가족,육촌,2
2024,2,267,배우자,남푠님,2
2024,2,267,부모님,외할머님,2
2024,2,267,싱글,독신,2
2024,2,267,부모님,예비시어머니,2
2024,2,267,자녀,맏딸,2
2024,2,267,배우자,안사람,2
2024,2,286,연인,걸프렌드,1
2024,2,286,자녀,손녀딸,1
2024,2,286,자녀,외둥이,1
2024,2,286,기타가족,외손녀,1
2024,2,286,부모님,함무니,1
2024,2,286,싱글,싱글남,1
2024,2,286,연인,보이프렌드,1
2024,2,286,배우자,울랑,1
2024,2,286,부모님,시어른,1
2024,2,286,회사동료,회사상사,1
2024,2,286,부모님,시아부지,1
2024,2,286,배우자,새색시,1
2024,2,286,부모님,친정아부지,1
2024,2,286,자녀,여식,1
2024,2,286,자녀,작은놈,1
2024,2,286,자녀,울집애,1
2024,2,286,부모님,외할부지,1
2024,2,286,배우자,저희신랑,1
2024,2,286,부모님,친정맘,1
2024,2,286,부모님,할빠,1
2024,2,286,부모님,예비시어머님,1
2024,2,286,부모님,할마,1
2024,2,286,자녀,둥이맘,1
2024,2,286,기타가족,큰며느리,1
2024,2,286,부모님,할버지,1
2024,2,286,회사동료,회사직원,1
2024,2,286,친구,학교친구,1
2024,2,286,회사동료,회사선배,1
2024,2,286,연인,약혼자,1
2024,2,286,친구,여행친구,1
2024,2,286,기타가족,숙모,1
2024,2,286,배우자,낭군님,1
2024,2,286,자녀,첫딸,1
