year,month,순위,분류,관련 키워드,언급건수
2024,11,1,휴식/힐링,힐링,3088
2024,11,2,휴식/힐링,나들이,1673
2024,11,3,레포츠,캠핑,1539
2024,11,4,레포츠,등산,706
2024,11,5,기타,투어,656
2024,11,6,레포츠,빠지,595
2024,11,7,휴식/힐링,피크닉,467
2024,11,8,휴식/힐링,불멍,345
2024,11,9,레포츠,글램핑,327
2024,11,10,휴식/힐링,휴양,260
2024,11,11,레포츠,트레킹,258
2024,11,12,레포츠,낚시,254
2024,11,13,기타,데이트코스,243
2024,11,14,레포츠,산행,216
2024,11,15,레포츠,레저,178
2024,11,16,휴식/힐링,즐길거리,174
2024,11,17,레포츠,스키,157
2024,11,17,휴식/힐링,야영,157
2024,11,19,휴식/힐링,단풍놀이,106
2024,11,20,휴식/힐링,생태관광,105
2024,11,21,레포츠,레포츠,98
2024,11,22,휴식/힐링,테라피,93
2024,11,23,레포츠,차박,91
2024,11,24,체험,생태체험,90
2024,11,25,기타,답사,88
2024,11,26,레포츠,오토캠핑,87
2024,11,27,레포츠,카약,84
2024,11,28,휴식/힐링,물멍,82
2024,11,29,휴식/힐링,재충전,77
2024,11,30,기타,해외여행,72
2024,11,31,휴식/힐링,가을여행,69
2024,11,32,레포츠,캠프파이어,62
2024,11,33,레포츠,하이킹,61
2024,11,34,미식,카페투어,55
2024,11,35,미식,먹부림,51
2024,11,36,미식,맛집탐방,48
2024,11,37,휴식/힐링,드라이브코스,42
2024,11,37,휴식/힐링,호캉스,42
2024,11,39,레포츠,짚라인,38
2024,11,40,레포츠,오프로드,37
2024,11,41,레포츠,캠크닉,36
2024,11,42,레포츠,수상레저,34
2024,11,43,레포츠,수상자전거,33
2024,11,44,휴식/힐링,신혼여행,32
2024,11,45,레포츠,트래킹,31
2024,11,46,레포츠,게이트볼,30
2024,11,46,레포츠,클라이밍,30
2024,11,46,미식,빵지순례,30
2024,11,46,미식,바베큐파티,30
2024,11,50,기타,일본여행,27
2024,11,50,휴식/힐링,노을뷰,27
2024,11,50,레포츠,백패킹,27
2024,11,50,휴식/힐링,힐링여행,27
2024,11,54,레포츠,서핑,26
2024,11,55,체험,공포체험,25
2024,11,56,휴식/힐링,겨울여행,22
2024,11,57,체험,동물체험,21
2024,11,58,체험,숲체험,20
2024,11,58,레포츠,바다낚시,20
2024,11,58,미식,고기파티,20
2024,11,58,체험,수학여행,20
2024,11,58,레포츠,래프팅,20
2024,11,63,레포츠,캠핑족,19
2024,11,64,체험,농촌체험,18
2024,11,64,휴식/힐링,하늘멍,18
2024,11,64,기타,기차여행,18
2024,11,64,체험,승마체험,18
2024,11,68,레포츠,캠프닉,17
2024,11,68,레포츠,카라반캠핑,17
