year,month,업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
2024,3,쇼핑업,레저용품쇼핑,49.1,2.9
2024,3,쇼핑업,기타관광쇼핑,49.1,26.5
2024,3,쇼핑업,대형쇼핑몰,49.1,70.6
2024,3,숙박업,호텔,0.6,7.9
2024,3,숙박업,캠핑장/펜션,0.6,7.1
2024,3,숙박업,기타숙박,0.6,85.0
2024,3,식음료업,일반외식업,29.3,81.5
2024,3,식음료업,제과음료업,29.3,18.5
2024,3,여가서비스업,관광유원시설,9.3,2.9
2024,3,여가서비스업,골프장,9.3,77.2
2024,3,여가서비스업,기타레저,9.3,13.3
2024,3,여가서비스업,문화서비스,9.3,6.6
2024,3,여행업,여행업,0.0,100.0
2024,3,운송업,육상운송,10.4,99.7
2024,3,운송업,렌터카,10.4,0.3
2024,3,의료웰니스업,의료관광,1.4,16.7
2024,3,의료웰니스업,뷰티,1.4,83.3
