year,month,지역코드,지역명,평균 체류시간
2024,11,41111,수원시 장안구,775.0
2024,11,41113,수원시 권선구,961.0
2024,11,41115,수원시 팔달구,562.0
2024,11,41117,수원시 영통구,804.0
2024,11,41131,성남시 수정구,829.0
2024,11,41133,성남시 중원구,953.0
2024,11,41135,성남시 분당구,796.0
2024,11,41150,의정부시,1263.0
2024,11,41171,안양시 만안구,972.0
2024,11,41173,안양시 동안구,1000.0
2024,11,41192,부천시 원미구,850.0
2024,11,41194,부천시 소사구,907.0
2024,11,41196,부천시 오정구,746.0
2024,11,41210,광명시,719.0
2024,11,41220,평택시,1814.0
2024,11,41250,동두천시,1097.0
2024,11,41271,안산시 상록구,1261.0
2024,11,41273,안산시 단원구,1015.0
2024,11,41281,고양시 덕양구,903.0
2024,11,41285,고양시 일산동구,803.0
2024,11,41287,고양시 일산서구,841.0
2024,11,41290,과천시,540.0
2024,11,41310,구리시,634.0
2024,11,41360,남양주시,1130.0
2024,11,41370,오산시,1201.0
2024,11,41390,시흥시,1097.0
2024,11,41410,군포시,1069.0
2024,11,41430,의왕시,579.0
2024,11,41450,하남시,884.0
2024,11,41461,용인시 처인구,1015.0
2024,11,41463,용인시 기흥구,900.0
2024,11,41465,용인시 수지구,1177.0
2024,11,41480,파주시,1261.0
2024,11,41500,이천시,1108.0
2024,11,41550,안성시,923.0
2024,11,41570,김포시,1161.0
2024,11,41590,화성시,1269.0
2024,11,41610,광주시,1291.0
2024,11,41630,양주시,1165.0
2024,11,41650,포천시,1054.0
2024,11,41670,여주시,849.0
2024,11,41800,연천군,1115.0
2024,11,41820,가평군,867.0
2024,11,41830,양평군,850.0
