year,month,유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
2024,5,기타관광,교통시설,10.2,33.0
2024,5,기타관광,기타관광,10.2,67.0
2024,5,레저스포츠,기타레저스포츠,9.0,4.5
2024,5,레저스포츠,수상레저스포츠,9.0,3.4
2024,5,레저스포츠,육상레저스포츠,9.0,92.1
2024,5,문화관광,기타문화관광지,11.3,4.5
2024,5,문화관광,도시/지역문화관광,11.3,0.0
2024,5,문화관광,도시공원,11.3,40.3
2024,5,문화관광,랜드마크관광,11.3,6.9
2024,5,문화관광,복합관광시설,11.3,0.1
2024,5,문화관광,테마공원,11.3,21.8
2024,5,문화관광,레저스포츠시설,11.3,2.3
2024,5,문화관광,공연시설,11.3,17.1
2024,5,문화관광,전시시설,11.3,6.9
2024,5,쇼핑,쇼핑몰,14.4,93.9
2024,5,쇼핑,시장,14.4,5.0
2024,5,쇼핑,기타쇼핑시설,14.4,1.1
2024,5,숙박,기타숙박,4.6,0.0
2024,5,숙박,모텔,4.6,24.9
2024,5,숙박,펜션/민박,4.6,12.3
2024,5,숙박,호스텔,4.6,2.4
2024,5,숙박,호텔,4.6,22.8
2024,5,숙박,캠핑,4.6,37.6
2024,5,역사관광,역사유물,1.8,0.4
2024,5,역사관광,역사유적지,1.8,27.5
2024,5,역사관광,종교성지,1.8,72.1
2024,5,음식,간이음식,47.1,7.9
2024,5,음식,외국식,47.1,6.8
2024,5,음식,음식점기타,47.1,0.3
2024,5,음식,전문음식,47.1,17.1
2024,5,음식,한식,47.1,37.4
2024,5,음식,카페/찻집,47.1,30.5
2024,5,자연관광,자연경관(하천/해양),1.2,22.8
2024,5,자연관광,자연경관(산),1.2,26.9
2024,5,자연관광,자연공원,1.2,50.2
2024,5,체험관광,농/산/어촌체험,0.3,66.9
2024,5,체험관광,웰니스관광,0.3,26.9
2024,5,체험관광,공예체험,0.3,6.3
