유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,16.7,28.3
기타관광,기타관광,16.7,71.7
레저스포츠,기타레저스포츠,8.4,7.9
레저스포츠,수상레저스포츠,8.4,5.1
레저스포츠,육상레저스포츠,8.4,87.0
문화관광,기타문화관광지,13.4,2.7
문화관광,도시/지역문화관광,13.4,0.3
문화관광,도시공원,13.4,42.0
문화관광,랜드마크관광,13.4,5.2
문화관광,복합관광시설,13.4,9.0
문화관광,테마공원,13.4,22.4
문화관광,레저스포츠시설,13.4,0.8
문화관광,공연시설,13.4,11.6
문화관광,전시시설,13.4,5.8
쇼핑,쇼핑몰,17.3,94.2
쇼핑,시장,17.3,4.4
쇼핑,기타쇼핑시설,17.3,1.4
숙박,기타숙박,3.7,0.0
숙박,모텔,3.7,24.8
숙박,펜션/민박,3.7,8.5
숙박,호스텔,3.7,2.3
숙박,호텔,3.7,24.3
숙박,캠핑,3.7,40.2
역사관광,역사유물,1.8,1.2
역사관광,역사유적지,1.8,40.0
역사관광,종교성지,1.8,58.8
음식,간이음식,37.1,10.8
음식,외국식,37.1,6.5
음식,음식점기타,37.1,0.3
음식,전문음식,37.1,16.6
음식,한식,37.1,34.0
음식,카페/찻집,37.1,31.8
자연관광,자연경관(하천/해양),1.5,29.7
자연관광,자연경관(산),1.5,30.5
자연관광,자연공원,1.5,39.8
체험관광,농/산/어촌체험,0.3,82.7
체험관광,웰니스관광,0.3,15.9
체험관광,공예체험,0.3,1.4
