순위,분류,관련 키워드,언급건수
1,기타가족,가족,2572
2,친구,친구,1739
3,회사동료,직원,1544
4,기타가족,엄마,1044
5,싱글,혼자,841
6,기타가족,가정,786
7,부모님,부모,749
8,자녀,학생,730
9,친구,친구들,699
10,배우자,남편,663
11,부모님,부모님,511
12,친구,지인,496
13,자녀,청소년,493
14,부모님,아빠,468
15,자녀,아들,450
16,회사동료,대리,387
17,자녀,애들,365
18,연인,커플,362
19,기타가족,언니,357
20,기타가족,오빠,347
21,기타가족,동생,343
22,연인,연인,323
23,연인,남자친구,291
24,부모님,아버지,269
25,자녀,자녀,248
26,회사동료,동료,227
27,회사동료,직원들,221
28,기타가족,장인,218
29,배우자,신랑,216
30,부모님,할머니,208
31,부모님,어머니,198
32,배우자,아내,197
33,싱글,혼자서,177
34,기타가족,이모,176
35,학생,초등학생,167
36,기타가족,동서,140
37,학생,대학생,127
38,기타가족,조카,125
39,자녀,딸,106
40,싱글,홀로,105
41,기타가족,형제,104
42,친구,프렌,100
43,기타가족,자매,95
44,싱글,싱글,94
44,배우자,남편이랑,94
46,부모님,할아버지,91
47,자녀,자식,85
48,연인,남친,84
49,배우자,부인,83
49,부모님,어머님,83
51,배우자,와이프,82
52,부모님,아비,81
53,기타가족,사위,80
54,회사동료,직장동료,79
55,기타가족,막내,78
56,회사동료,부장,77
57,연인,여자친구,75
58,배우자,배우자,73
59,기타가족,식구,68
60,학생,초딩,67
61,부모님,엄마아빠,63
61,기타가족,형,63
63,회사동료,사원,62
64,회사동료,임원,57
65,기타가족,패밀리,53
65,부모님,친정엄마,53
67,부모님,엄빠,52
68,싱글,나혼자,51
68,기타가족,온가족,51
70,기타가족,누나,50
71,자녀,장남,49
71,기타가족,사촌,49
73,학생,고등학생,48
74,기타가족,효자,44
75,회사동료,차장,42
76,학생,중학생,40
77,기타가족,손자,36
78,기타가족,남동생,35
78,기타가족,친척,35
78,기타가족,이모님,35
81,자녀,우리아이,34
81,친구,칭구,34
81,기타가족,남매,34
81,학생,고3,34
81,기타가족,시댁,34
81,연인,애인,34
81,부모님,아부지,34
88,자녀,딸아이,33
88,부모님,아버님,33
90,기타가족,형님,32
90,자녀,아드님,32
92,배우자,신부,30
92,부모님,시부,30
92,기타가족,며느리,30
95,친구,동창,29
95,싱글,나홀로,29
95,연인,남친이,29
95,기타가족,여동생,29
