순위,분류,관련 키워드,언급건수
1,휴식/힐링,나들이,880
2,휴식/힐링,힐링,801
3,레포츠,캠핑,532
4,레포츠,빠지,426
5,레포츠,등산,293
6,레포츠,산행,228
7,휴식/힐링,즐길거리,199
8,기타,데이트코스,186
9,레포츠,낚시,167
10,휴식/힐링,불멍,113
11,기타,투어,104
12,미식,카페투어,94
13,휴식/힐링,야영,93
14,레포츠,차박,92
15,레포츠,글램핑,75
16,휴식/힐링,피크닉,59
17,기타,해외여행,55
18,레포츠,감성캠핑,53
18,레포츠,오토캠핑,53
20,레포츠,백패킹,52
21,레포츠,레저,49
21,휴식/힐링,드라이브코스,49
23,기타,답사,46
24,미식,빵지순례,44
25,미식,맛집탐방,42
26,미식,맛집투어,40
26,휴식/힐링,호캉스,40
28,레포츠,트레킹,38
29,레포츠,스키,34
30,미식,먹부림,33
31,휴식/힐링,휴양,27
32,미식,먹방여행,24
32,레포츠,오프로드,24
32,레포츠,수상레저,24
32,휴식/힐링,북캉스,24
36,미식,먹킷리스트,21
36,휴식/힐링,숲캉스,21
38,레포츠,카약,18
38,체험,딸기체험,18
38,휴식/힐링,테라피,18
41,레포츠,수상자전거,17
42,체험,동물체험,16
42,휴식/힐링,집콕생활,16
44,휴식/힐링,재충전,14
44,휴식/힐링,물멍,14
44,레포츠,서핑,14
47,레포츠,클라이밍,13
47,레포츠,캠핑족,13
47,레포츠,짚라인,13
50,레포츠,캠프파이어,12
50,체험,농촌체험,12
50,휴식/힐링,신혼여행,12
53,레포츠,노지캠핑,11
54,레포츠,트래킹,10
54,미식,바베큐파티,10
54,휴식/힐링,힐링여행,10
54,기타,제주여행,10
58,휴식/힐링,차크닉,9
58,체험,승마체험,9
58,기타,추억여행,9
58,체험,도자기체험,9
62,레포츠,해양레저,8
62,레포츠,하이킹,8
62,레포츠,레포츠,8
62,체험,수학여행,8
66,휴식/힐링,일광욕,7
66,레포츠,오프로드라이딩,7
66,휴식/힐링,근교여행,7
66,휴식/힐링,단풍놀이,7
66,레포츠,산악오토바이,7
66,휴식/힐링,생태관광,7
66,체험,오프로드체험,7
73,기타,유럽여행,6
73,미식,빵투어,6
73,레포츠,암벽등반,6
73,체험,먹이주기체험,6
73,기타,기차여행,6
73,기타,자유여행,6
79,레포츠,패러글라이딩,5
79,체험,농장체험,5
79,미식,고기파티,5
79,체험,동물먹이주기체험,5
79,레포츠,카라반캠핑,5
79,레포츠,골프투어,5
85,체험,딸기수확체험,4
85,레포츠,ssi,4
85,체험,숲체험,4
85,휴식/힐링,태교여행,4
85,기타,스탬프투어,4
85,기타,일본여행,4
85,레포츠,프리다이빙,4
85,체험,갯벌체험,4
85,체험,쿠킹클래스,4
85,레포츠,캠프닉,4
85,기타,도보여행,4
85,체험,토끼먹이주기체험,4
97,레포츠,스쿼시,3
97,레포츠,캠크닉,3
97,레포츠,루어낚시,3
97,레포츠,바다낚시,3
97,레포츠,민물낚시,3
97,레포츠,배스낚시,3
97,미식,식도락여행,3
97,체험,목공체험,3
97,체험,물레체험,3
97,레포츠,레저스포츠,3
97,체험,템플스테이,3
97,체험,수확체험,3
97,체험,목장체험,3
110,휴식/힐링,봄여행,2
110,휴식/힐링,홈캠핑,2
110,체험,향수체험,2
110,기타,졸업여행,2
110,레포츠,수상레져,2
110,체험,vr체험,2
110,기타,제주도여행,2
110,미식,빵집순례,2
110,휴식/힐링,감성여행,2
110,기타,역사여행,2
110,레포츠,게이트볼,2
110,휴식/힐링,겨울여행,2
110,체험,동물먹이체험,2
110,기타,걷기여행,2
110,체험,물놀이체험,2
110,체험,민속놀이체험,2
110,체험,한복체험,2
110,기타,테마여행,2
128,레포츠,스케이트보드,1
128,체험,귤체험,1
128,체험,수상레저체험,1
128,레포츠,스킨스쿠버,1
128,휴식/힐링,산멍,1
128,기타,중국여행,1
128,체험,미술체험,1
128,체험,생태체험,1
128,체험,한옥스테이,1
128,휴식/힐링,혼놀,1
128,체험,공포체험,1
128,체험,시티투어,1
128,휴식/힐링,카캉스,1
128,기타,부산여행,1
128,기타,데이트스냅,1
128,체험,전통공예체험,1
128,레포츠,골프여행,1
128,레포츠,스노클링,1
128,레포츠,캠핑라이프,1
128,체험,어촌체험,1
128,휴식/힐링,우정여행,1
128,휴식/힐링,일몰뷰,1
128,기타,세계여행,1
128,레포츠,모토캠핑,1
128,레포츠,발야구,1
128,레포츠,번지점프,1
128,레포츠,산악자전거,1
128,체험,원예체험,1
128,휴식/힐링,워케이션,1
128,기타,자전거투어,1
128,체험,말먹이주기체험,1
128,체험,새먹이체험,1
128,기타,미국여행,1
128,레포츠,알빙,1
128,휴식/힐링,낭만여행,1
128,레포츠,수상스키,1
128,체험,곤충체험,1
128,체험,역사체험,1
128,레포츠,애슬레저,1
128,체험,활쏘기체험,1
128,체험,향수만들기,1
128,휴식/힐링,드라이브여행,1
128,휴식/힐링,시골여행,1
128,레포츠,제트스키,1
128,레포츠,스쿠버,1
128,레포츠,스쿠버다이빙,1
128,레포츠,웨이크보드,1
128,레포츠,캠핑여행,1
128,레포츠,페러글라이딩,1
128,체험,국궁체험,1
128,휴식/힐링,홈캉스,1
128,레포츠,버기카,1
128,레포츠,수상스포츠,1
128,체험,지게체험,1
