순위,분류,관련 키워드,언급건수
1,기타가족,가족,4098
2,친구,친구,2415
3,회사동료,직원,2375
4,기타가족,엄마,1495
5,기타가족,가정,1450
6,자녀,학생,1404
7,부모님,부모,1339
8,싱글,혼자,1194
9,부모님,부모님,951
10,친구,친구들,948
11,회사동료,대리,937
12,자녀,청소년,905
13,배우자,남편,870
14,자녀,아들,823
15,자녀,자녀,791
16,회사동료,직원들,787
17,친구,지인,775
18,부모님,아빠,742
19,기타가족,오빠,525
20,연인,연인,509
21,기타가족,동생,486
21,기타가족,언니,486
23,연인,커플,465
24,기타가족,동서,451
25,자녀,애들,370
26,부모님,아버지,338
27,연인,남자친구,313
28,회사동료,동료,311
29,배우자,부인,307
30,싱글,홀로,306
31,배우자,아내,305
32,배우자,신랑,300
33,부모님,어머니,295
34,부모님,할머니,278
35,기타가족,이모,264
36,회사동료,임원,252
37,회사동료,부장,243
38,싱글,혼자서,233
39,학생,초등학생,214
40,배우자,와이프,199
41,기타가족,장모,196
42,자녀,딸,194
43,기타가족,장인,179
44,기타가족,막내,176
45,학생,대학생,167
46,기타가족,형제,162
47,부모님,어머님,154
48,친구,프렌,144
49,부모님,할아버지,143
49,배우자,남편이랑,143
51,기타가족,식구,142
52,기타가족,자매,141
53,기타가족,차남,133
53,기타가족,조카,133
55,자녀,자식,129
56,학생,고등학생,128
57,배우자,배우자,123
58,연인,남친,119
59,싱글,싱글,115
60,부모님,엄마아빠,110
60,친구,동창,110
62,부모님,엄빠,107
63,기타가족,누나,103
63,학생,중학생,103
65,자녀,장남,102
66,기타가족,형님,100
67,기타가족,사위,99
68,연인,여자친구,98
68,기타가족,태아,98
70,기타가족,패밀리,97
71,기타가족,남매,96
72,학생,고딩,93
73,기타가족,온가족,88
74,기타가족,효자,81
75,기타가족,형,80
76,배우자,신부,79
77,부모님,아버님,75
77,학생,초딩,75
79,기타가족,손자,74
79,기타가족,손주,74
79,기타가족,남동생,74
82,친구,칭구,67
83,기타가족,사촌,63
83,기타가족,시댁,63
85,자녀,아드님,59
85,기타가족,친척,59
87,자녀,미성년자,58
88,자녀,딸아이,50
89,연인,남친이,46
89,기타가족,이모님,46
91,친구,절친,44
92,부모님,아부지,43
92,친구,룸메,43
92,부모님,모녀,43
95,자녀,딸래미,42
95,자녀,우리아이,42
95,기타가족,고모,42
98,기타가족,삼촌,41
99,부모님,아비,38
100,부모님,시부,37
101,자녀,장녀,35
101,자녀,큰아이,35
101,친구,룸메이트,35
104,자녀,따님,34
104,회사동료,차장,34
106,부모님,시어머니,33
106,부모님,친정엄마,33
106,기타가족,며느리,33
109,싱글,나홀로,32
109,학생,중1,32
111,기타가족,손녀,31
112,연인,애인,30
112,자녀,딸내미,30
112,기타가족,여동생,30
112,자녀,큰딸,30
116,회사동료,사원,29
117,부모님,시부모,28
117,싱글,나혼자,28
117,부모님,울엄마,28
120,기타가족,막둥이,27
120,학생,고3,27
122,자녀,딸램,26
122,부모님,어무니,26
124,부모님,외할머니,25
124,연인,남치니,25
124,배우자,남편님,25
124,배우자,서방,25
128,부모님,시부모님,24
129,기타가족,형부,23
129,기타가족,친지,23
131,부모님,할머님,22
131,학생,중2,22
131,연인,여친,22
131,연인,예랑,22
135,회사동료,직장동료,21
135,부모님,장모님,21
135,부모님,조부모,21
138,학생,고2,20
138,자녀,울애,20
138,기타가족,장손,20
138,부모님,증조부,20
142,자녀,외동,19
142,부모님,할매,19
144,학생,중3,18
144,자녀,아들래미,18
144,자녀,아들내미,18
147,배우자,남푠,17
147,부모님,장인어른,17
147,자녀,울애기,17
147,부모님,시어머님,17
147,학생,중딩,17
147,친구,베프,17
153,자녀,아들램,16
153,배우자,남표니,16
153,배우자,예랑이,16
156,기타가족,사촌동생,15
156,자녀,우리아들,15
156,부모님,엄니,15
159,자녀,우리아이들,14
159,자녀,워킹맘,14
159,자녀,큰애,14
162,자녀,우리딸,13
162,자녀,저희아이,13
164,기타가족,이모님들,12
164,연인,예비신부,12
164,연인,남친님,12
164,부모님,시아버지,12
168,배우자,마누라,11
168,배우자,마눌,11
168,자녀,우리애,11
171,연인,예비신랑,10
171,자녀,차녀,10
173,배우자,와이프님,9
173,기타가족,외삼촌,9
173,기타가족,효녀,9
173,자녀,맏아들,9
173,배우자,남펴니,9
178,연인,남친몬,8
178,자녀,큰아들,8
178,배우자,마눌님,8
178,배우자,예신,8
178,기타가족,가족모두,8
178,부모님,할무니,8
184,자녀,초보엄마,7
184,기타가족,사돈,7
184,자녀,외아들,7
184,자녀,외동딸,7
184,부모님,친정어머니,7
184,배우자,마님,7
184,배우자,집사람,7
191,자녀,울딸,6
191,부모님,어무이,6
191,자녀,아들딸,6
191,학생,초4,6
191,기타가족,숙부,6
191,기타가족,손자들,6
191,부모님,시모,6
191,자녀,아들녀석,6
191,부모님,외할아버지,6
191,자녀,둥이들,6
191,학생,초5,6
202,자녀,둘째아들,5
202,부모님,친정아버지,5
202,기타가족,올케,5
202,배우자,남푠님,5
202,부모님,시아버님,5
202,부모님,친정아빠,5
202,기타가족,시댁식구,5
202,기타가족,시댁식구들,5
202,배우자,주말부부,5
202,자녀,첫째아이,5
202,기타가족,시누,5
202,학생,재수생,5
202,자녀,저희아들,5
215,자녀,저희딸,4
215,기타가족,친정식구들,4
215,배우자,아자씨,4
215,배우자,저희신랑,4
215,회사동료,여직원,4
215,기타가족,손주들,4
215,자녀,울아들,4
215,기타가족,새언니,4
215,학생,초6,4
215,싱글,싱글족,4
215,부모님,할아버님,4
215,학생,고삼,4
215,부모님,시엄니,4
215,친구,프렌드,4
215,기타가족,친정식구,4
215,자녀,둘째아이,4
215,배우자,저희남편,4
215,기타가족,외손자,4
215,기타가족,육촌,4
234,배우자,애아빠,3
234,자녀,울애들,3
234,자녀,직장맘,3
234,부모님,증조모,3
234,배우자,애엄마,3
234,기타가족,외손녀,3
234,자녀,젖먹이,3
234,자녀,첫째아들,3
234,기타가족,덩생,3
234,기타가족,처제,3
234,자녀,둘째딸,3
234,자녀,우리애들,3
234,기타가족,혈육,3
234,배우자,울신랑,3
234,부모님,시아빠,3
234,기타가족,시누이,3
234,부모님,할아부지,3
234,자녀,저희애,3
252,연인,약혼녀,2
252,부모님,할부지,2
252,학생,초3,2
252,회사동료,회사사람,2
252,회사동료,회사선배,2
252,자녀,저희애들,2
252,학생,초2,2
252,배우자,새색시,2
252,배우자,우리신랑,2
252,자녀,첫아들,2
252,친구,여사친,2
252,기타가족,큰며느리,2
252,학생,초1,2
252,회사동료,회사직원,2
252,기타가족,울언니,2
252,배우자,남의편,2
252,자녀,울아이,2
252,기타가족,막내며느리,2
252,부모님,어머니아버지,2
252,부모님,할마,2
252,싱글,독신,2
252,연인,약혼자,2
252,자녀,첫째딸,2
275,싱글,혼자남,1
275,자녀,맏딸,1
275,부모님,양가부모님,1
275,부모님,친정엄니,1
275,자녀,울아드님,1
275,배우자,남편느님,1
275,기타가족,첫손자,1
275,배우자,제아내,1
275,부모님,시어미,1
275,회사동료,직장상사,1
275,부모님,함무니,1
275,기타가족,맏며느리,1
275,기타가족,손자손녀,1
275,부모님,할멈,1
275,배우자,울와이프,1
275,부모님,시엄마,1
275,연인,썸남,1
275,연인,여친님,1
275,친구,남사친,1
275,배우자,애기아빠,1
275,기타가족,숙모,1
275,배우자,낭군님,1
275,배우자,아내느님,1
275,자녀,울아이들,1
275,부모님,할배,1
275,부모님,셤니,1
