순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,1614
2,휴식/힐링,나들이,1250
3,레포츠,캠핑,1175
4,레포츠,빠지,673
5,레포츠,등산,388
6,기타,투어,308
7,레포츠,낚시,276
8,휴식/힐링,피크닉,190
9,기타,데이트코스,189
10,레포츠,차박,167
11,미식,카페투어,161
12,휴식/힐링,불멍,157
13,레포츠,산행,141
14,레포츠,글램핑,137
15,레포츠,레저,133
16,휴식/힐링,즐길거리,129
17,기타,해외여행,127
18,기타,답사,103
19,레포츠,카약,88
19,레포츠,수상레저,88
21,휴식/힐링,휴양,83
22,휴식/힐링,물멍,71
23,휴식/힐링,호캉스,68
24,미식,맛집투어,65
24,레포츠,수상자전거,65
26,미식,먹부림,64
27,미식,맛집탐방,61
27,휴식/힐링,가을여행,61
29,미식,먹킷리스트,58
29,레포츠,트레일러닝,58
29,레포츠,트레킹,58
32,레포츠,스키,57
33,휴식/힐링,드라이브코스,50
34,레포츠,오토캠핑,49
35,휴식/힐링,야영,47
36,미식,빵지순례,40
37,레포츠,트래킹,36
38,레포츠,감성캠핑,35
38,휴식/힐링,북캉스,35
40,휴식/힐링,단풍놀이,34
41,레포츠,서핑,33
42,휴식/힐링,숲캉스,32
43,휴식/힐링,재충전,29
44,레포츠,게이트볼,26
45,레포츠,캠핑족,23
45,레포츠,노지캠핑,23
45,미식,애프터눈티,23
45,휴식/힐링,테라피,23
49,체험,물레체험,22
49,레포츠,클라이밍,22
51,체험,먹이주기체험,21
52,기타,유럽여행,20
52,휴식/힐링,차크닉,20
54,레포츠,백패킹,19
54,체험,숲체험,19
56,레포츠,오프로드,18
56,휴식/힐링,신혼여행,18
56,체험,동물체험,18
59,미식,먹방여행,17
59,휴식/힐링,근교여행,17
61,휴식/힐링,힐링여행,16
62,기타,세계여행,15
62,레포츠,프리다이빙,15
62,체험,승마체험,15
65,레포츠,스쿠버,14
65,레포츠,바다낚시,14
65,레포츠,캠프파이어,14
65,휴식/힐링,노을뷰,14
69,레포츠,레포츠,12
69,미식,바베큐파티,12
69,레포츠,짚라인,12
69,레포츠,ssi,12
69,기타,제주여행,12
74,체험,동물먹이주기체험,11
75,레포츠,산악자전거,10
75,체험,전통놀이체험,10
75,기타,추억여행,10
75,레포츠,하이킹,10
75,레포츠,카라반캠핑,10
75,체험,원예체험,10
81,체험,갯벌체험,9
81,기타,테마여행,9
81,체험,수학여행,9
81,레포츠,캠프닉,9
85,레포츠,암벽등반,8
85,체험,농장체험,8
85,기타,기차여행,8
85,레포츠,캠크닉,8
85,체험,동물먹이체험,8
85,체험,도자기체험,8
85,휴식/힐링,집콕생활,8
92,체험,vr체험,7
92,휴식/힐링,하늘멍,7
92,미식,고기파티,7
92,기타,부산여행,7
92,휴식/힐링,홈캠핑,7
92,휴식/힐링,일광욕,7
92,체험,미술체험,7
99,체험,농촌체험,6
99,휴식/힐링,감성여행,6
99,휴식/힐링,생태관광,6
102,기타,제주도여행,5
102,휴식/힐링,태교여행,5
102,체험,시티투어,5
102,레포츠,수상레져,5
102,체험,도예체험,5
102,기타,걷기여행,5
102,체험,한옥스테이,5
102,체험,수확체험,5
102,레포츠,수상스키,5
111,기타,배낭여행,4
111,기타,일본여행,4
111,레포츠,산악오토바이,4
111,체험,어촌체험,4
111,체험,곤충체험,4
111,레포츠,윈드서핑,4
111,체험,놀이체험,4
111,레포츠,스노쿨링,4
111,체험,한옥체험,4
111,휴식/힐링,숲멍,4
111,레포츠,캠핑여행,4
111,체험,카약체험,4
111,레포츠,골프투어,4
111,레포츠,레저스포츠,4
125,레포츠,배스낚시,3
125,레포츠,번지점프,3
125,체험,목공체험,3
125,레포츠,민물낚시,3
125,체험,쿠킹클래스,3
125,레포츠,패들보드,3
125,체험,공방체험,3
125,기타,스탬프투어,3
125,기타,자전거여행,3
125,레포츠,루어낚시,3
125,레포츠,오프로드라이딩,3
125,레포츠,해양레저,3
125,휴식/힐링,즉흥여행,3
125,레포츠,수상스포츠,3
125,레포츠,제트스키,3
125,체험,목장체험,3
125,체험,생태체험,3
125,레포츠,플라이낚시,3
125,미식,와이너리투어,3
125,체험,오프로드체험,3
125,체험,감귤체험,3
125,휴식/힐링,드라이브여행,3
125,기타,역사여행,3
125,레포츠,래프팅,3
125,체험,농사체험,3
150,레포츠,모토캠핑,2
150,레포츠,골프여행,2
150,미식,빵투어,2
150,체험,낚시체험,2
150,기타,졸업여행,2
150,체험,공포체험,2
150,레포츠,패러글라이딩,2
150,기타,자유여행,2
150,체험,어린이승마체험,2
150,휴식/힐링,허니문,2
150,레포츠,스카이다이빙,2
150,레포츠,스케이트보드,2
150,기타,도보여행,2
150,레포츠,padi,2
150,레포츠,웨이크보드,2
150,체험,국궁체험,2
150,체험,딸기체험,2
150,레포츠,웨이크서핑,2
150,체험,공예체험,2
150,휴식/힐링,농촌여행,2
150,레포츠,스킨스쿠버,2
171,기타,소싸움,1
171,레포츠,발야구,1
171,레포츠,오픈워터,1
171,미식,식도락여행,1
171,레포츠,스노클링,1
171,레포츠,심해잠수,1
171,휴식/힐링,요트투어,1
171,휴식/힐링,일몰뷰,1
171,기타,자전거투어,1
171,체험,한옥숙박체험,1
171,휴식/힐링,석양뷰,1
171,체험,다도체험,1
171,미식,먹부림여행,1
171,휴식/힐링,산멍,1
171,휴식/힐링,펫캉스,1
171,레포츠,스노우보드,1
171,레포츠,써핑,1
171,레포츠,제트보트,1
171,체험,택시투어,1
171,체험,프리다이빙체험,1
171,체험,한복체험,1
171,레포츠,스쿼시,1
171,기타,데이트스냅,1
171,기타,미국여행,1
171,체험,요트체험,1
171,휴식/힐링,겨울여행,1
171,휴식/힐링,온천여행,1
171,레포츠,스쿠버다이빙,1
171,휴식/힐링,홈캉스,1
171,기타,문화재여행,1
171,기타,중국여행,1
171,체험,카누체험,1
171,기타,세계일주,1
171,휴식/힐링,시골여행,1
171,레포츠,낚시여행,1
171,체험,악기체험,1
171,휴식/힐링,바다멍,1
171,레포츠,글라이더,1
171,체험,동굴체험,1
171,체험,역사체험,1
171,체험,템플스테이,1
171,레포츠,rving,1
171,미식,맥주파티,1
171,체험,맨발체험,1
171,체험,박물관체험,1
171,체험,야경투어,1
171,체험,요리체험,1
171,휴식/힐링,촌캉스,1
