지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,930.0,2.87
41113,수원시 권선구,1105.0,2.83
41115,수원시 팔달구,645.0,2.62
41117,수원시 영통구,964.0,2.93
41131,성남시 수정구,951.0,2.86
41133,성남시 중원구,1137.0,2.76
41135,성남시 분당구,895.0,2.98
41150,의정부시,1425.0,2.87
41171,안양시 만안구,996.0,2.78
41173,안양시 동안구,1054.0,2.89
41190,부천시,1357.0,2.92
41210,광명시,896.0,2.9
41220,평택시,2148.0,2.92
41250,동두천시,1373.0,2.79
41271,안산시 상록구,1557.0,2.9
41273,안산시 단원구,1154.0,2.71
41281,고양시 덕양구,902.0,2.91
41285,고양시 일산동구,879.0,2.96
41287,고양시 일산서구,928.0,2.92
41290,과천시,562.0,2.9
41310,구리시,636.0,2.83
41360,남양주시,1151.0,2.84
41370,오산시,1357.0,2.88
41390,시흥시,1140.0,2.83
41410,군포시,1176.0,2.88
41430,의왕시,634.0,2.77
41450,하남시,746.0,2.91
41461,용인시 처인구,1058.0,2.69
41463,용인시 기흥구,1052.0,2.94
41465,용인시 수지구,1255.0,2.96
41480,파주시,1143.0,2.79
41500,이천시,1135.0,2.83
41550,안성시,923.0,2.7
41570,김포시,1316.0,2.91
41590,화성시,1496.0,2.82
41610,광주시,985.0,2.82
41630,양주시,1045.0,2.71
41650,포천시,1164.0,2.47
41670,여주시,941.0,2.58
41800,연천군,1218.0,2.49
41820,가평군,923.0,2.21
41830,양평군,772.0,2.4
