광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,11,31.4
강원특별자치도,원주시,4,11.4
강원특별자치도,강릉시,1,2.9
강원특별자치도,동해시,1,2.9
강원특별자치도,태백시,1,2.9
강원특별자치도,속초시,2,5.7
강원특별자치도,삼척시,1,2.9
강원특별자치도,홍천군,2,5.7
강원특별자치도,횡성군,1,2.9
강원특별자치도,영월군,1,2.9
강원특별자치도,평창군,1,2.9
강원특별자치도,철원군,2,5.7
강원특별자치도,화천군,2,5.7
강원특별자치도,인제군,1,2.9
강원특별자치도,양양군,4,11.4
경기도,수원시 장안구,12,0.2
경기도,수원시 권선구,23,0.5
경기도,수원시 팔달구,11,0.2
경기도,수원시 영통구,21,0.4
경기도,성남시 수정구,12,0.2
경기도,성남시 중원구,7,0.1
경기도,성남시 분당구,30,0.6
경기도,의정부시,103,2.1
경기도,안양시 만안구,15,0.3
경기도,안양시 동안구,33,0.7
경기도,부천시,191,3.9
경기도,광명시,41,0.8
경기도,평택시,42,0.9
경기도,동두천시,36,0.7
경기도,안산시 상록구,32,0.7
경기도,안산시 단원구,18,0.4
경기도,고양시 덕양구,909,18.5
경기도,고양시 일산동구,990,20.2
경기도,고양시 일산서구,1027,20.9
경기도,과천시,6,0.1
경기도,구리시,20,0.4
경기도,남양주시,82,1.7
경기도,오산시,25,0.5
경기도,시흥시,65,1.3
경기도,군포시,28,0.6
경기도,의왕시,21,0.4
경기도,하남시,34,0.7
경기도,용인시 처인구,22,0.4
경기도,용인시 기흥구,24,0.5
경기도,용인시 수지구,25,0.5
경기도,이천시,22,0.4
경기도,안성시,27,0.6
경기도,김포시,387,7.9
경기도,화성시,120,2.4
경기도,광주시,27,0.6
경기도,양주시,227,4.6
경기도,포천시,30,0.6
경기도,여주시,16,0.3
경기도,연천군,120,2.4
경기도,가평군,16,0.3
경기도,양평군,9,0.2
경상남도,창원시 진해구,1,20.0
경상남도,진주시,1,20.0
경상남도,김해시,2,40.0
경상남도,양산시,1,20.0
경상북도,경주시,1,4.3
경상북도,김천시,1,4.3
경상북도,구미시,16,69.6
경상북도,문경시,1,4.3
경상북도,의성군,1,4.3
경상북도,칠곡군,2,8.7
경상북도,봉화군,1,4.3
광주광역시,남구,1,33.3
광주광역시,광산구,2,66.7
대구광역시,동구,1,20.0
대구광역시,북구,1,20.0
대구광역시,달성군,3,60.0
대전광역시,동구,1,11.1
대전광역시,서구,1,11.1
대전광역시,유성구,2,22.2
대전광역시,대덕구,5,55.6
부산광역시,동래구,1,33.3
부산광역시,해운대구,1,33.3
부산광역시,사하구,1,33.3
서울특별시,종로구,26,1.4
서울특별시,중구,23,1.2
서울특별시,용산구,63,3.3
서울특별시,성동구,43,2.2
서울특별시,광진구,23,1.2
서울특별시,동대문구,27,1.4
서울특별시,중랑구,38,2.0
서울특별시,성북구,71,3.7
서울특별시,강북구,19,1.0
서울특별시,도봉구,32,1.7
서울특별시,노원구,46,2.4
서울특별시,은평구,199,10.4
서울특별시,서대문구,100,5.2
서울특별시,마포구,231,12.1
서울특별시,양천구,128,6.7
서울특별시,강서구,263,13.7
서울특별시,구로구,71,3.7
서울특별시,금천구,29,1.5
서울특별시,영등포구,124,6.5
서울특별시,동작구,47,2.5
서울특별시,관악구,39,2.0
서울특별시,서초구,100,5.2
서울특별시,강남구,77,4.0
서울특별시,송파구,52,2.7
서울특별시,강동구,44,2.3
인천광역시,중구,53,8.6
인천광역시,동구,10,1.6
인천광역시,미추홀구,46,7.5
인천광역시,연수구,54,8.8
인천광역시,남동구,78,12.6
인천광역시,부평구,92,14.9
인천광역시,계양구,74,12.0
인천광역시,서구,196,31.8
인천광역시,강화군,14,2.3
전라남도,영암군,1,50.0
전라남도,장성군,1,50.0
전북특별자치도,군산시,3,37.5
전북특별자치도,익산시,2,25.0
전북특별자치도,남원시,1,12.5
전북특별자치도,무주군,1,12.5
전북특별자치도,장수군,1,12.5
충청남도,천안시 동남구,10,10.9
충청남도,천안시 서북구,35,38.0
충청남도,공주시,4,4.3
충청남도,보령시,2,2.2
충청남도,아산시,27,29.3
충청남도,서산시,6,6.5
충청남도,당진시,5,5.4
충청남도,부여군,1,1.1
충청남도,태안군,2,2.2
충청북도,청주시 상당구,1,2.4
충청북도,청주시 서원구,2,4.9
충청북도,청주시 흥덕구,4,9.8
충청북도,청주시 청원구,7,17.1
충청북도,충주시,12,29.3
충청북도,제천시,2,4.9
충청북도,증평군,5,12.2
충청북도,괴산군,5,12.2
충청북도,음성군,3,7.3
