유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,51.5,10.9
음식,외국식,51.5,8.3
음식,음식점기타,51.5,0.5
음식,전문음식,51.5,18.1
음식,카페/찻집,51.5,30.3
음식,한식,51.5,31.8
쇼핑,시장,15.5,2.3
쇼핑,쇼핑몰,15.5,95.1
쇼핑,기타쇼핑시설,15.5,2.6
기타관광,기타관광,10.4,100.0
문화관광,전시시설,10.0,7.2
문화관광,테마공원,10.0,4.2
문화관광,복합관광시설,10.0,4.6
문화관광,레저스포츠시설,10.0,3.1
문화관광,랜드마크관광,10.0,2.6
문화관광,도시공원,10.0,37.1
문화관광,도시/지역문화관광,10.0,0.0
문화관광,기타문화관광지,10.0,4.9
문화관광,공연시설,10.0,36.3
레저스포츠,육상레저스포츠,6.7,88.1
레저스포츠,수상레저스포츠,6.7,9.1
레저스포츠,기타레저스포츠,6.7,2.8
숙박,모텔,2.7,26.2
숙박,호텔,2.7,37.3
숙박,콘도미니엄,2.7,1.9
숙박,캠핑,2.7,33.8
숙박,기타숙박,2.7,0.7
역사관광,종교성지,1.6,67.4
역사관광,역사유적지,1.6,30.9
역사관광,역사유물,1.6,1.7
자연관광,자연경관(산),1.4,71.5
자연관광,자연경관(하천/해양),1.4,7.8
자연관광,자연공원,1.4,20.8
체험관광,농/산/어촌체험,0.3,100.0
