업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,46.0,1
음식,포레스트아웃팅스,28.0,2
음식,설문커피,28.0,3
음식,맥도날드/중산DT점,24.0,4
음식,메밀꽃이피었습니다/일산본점,20.0,5
음식,가나안덕/일산본점,18.0,6
음식,여자만숯불장어구이,12.0,7
음식,백제원/일산점 [한식],12.0,8
음식,미덕원/일산점,11.0,9
음식,후앙/백석본점,11.0,10
쇼핑,코스트코홀세일/일산점,122.0,1
쇼핑,라페스타,98.0,2
쇼핑,벨라시타,62.0,3
쇼핑,롯데백화점/일산점,46.0,4
쇼핑,이마트/풍산점,41.0,5
쇼핑,홈플러스/일산점,30.0,6
쇼핑,뉴코아아울렛/일산점,24.0,7
쇼핑,홈플러스/고양터미널점,15.0,8
쇼핑,이마트/일산점,13.0,9
쇼핑,해태쇼핑타운,4.0,10
문화관광,일산호수공원,77.0,1
문화관광,CGV/일산,12.0,2
문화관광,롯데시네마/라페스타,8.0,3
문화관광,중산체육공원,4.0,4
문화관광,정발산공원,4.0,5
문화관광,메가박스/백석,3.0,6
문화관광,고양아람누리,2.0,7
문화관광,메가박스/일산벨라시타,2.0,8
문화관광,고양꽃전시관,2.0,9
문화관광,밤가시공원,1.0,10
