업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당DT점,47.0,1
음식,뮌스터담,30.0,2
음식,앤드테라스/파주점,28.0,3
음식,더티트렁크,18.0,4
음식,레드파이프,14.0,5
음식,라플란드,11.0,6
음식,이삭토스트 파주운정이마트점,10.0,7
음식,내사랑동까스,10.0,8
음식,심학산도토리국수/본점,9.0,9
음식,스타벅스/파주야당역점,8.0,10
쇼핑,롯데프리미엄아울렛/파주점,282.0,1
쇼핑,신세계프리미엄아울렛/파주점,248.0,2
쇼핑,이마트/파주운정점,81.0,3
쇼핑,홈플러스/파주운정점,39.0,4
쇼핑,운정가구타운,13.0,5
쇼핑,이마트/파주점,12.0,6
쇼핑,금촌전통시장,6.0,7
쇼핑,홈플러스/파주문산점,5.0,8
쇼핑,대하마트,2.0,9
쇼핑,이채쇼핑몰,1.0,10
문화관광,운정호수공원,59.0,1
문화관광,평화누리,39.0,2
문화관광,퍼스트가든,18.0,3
문화관광,CGV/파주야당,11.0,4
문화관광,자유로자동차극장,6.0,5
문화관광,파주CJENM콘텐츠월드/건축중(2021년12월준공예정),5.0,6
문화관광,하니랜드,5.0,7
문화관광,미메시스아트뮤지엄,4.0,8
문화관광,메가박스/파주운정,4.0,9
문화관광,새암공원,4.0,10
