유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,71.2,36.7
음식,간이음식,71.2,8.9
음식,외국식,71.2,12.3
음식,음식점기타,71.2,1.1
음식,전문음식,71.2,25.7
음식,카페/찻집,71.2,15.3
쇼핑,기타쇼핑시설,11.7,4.7
쇼핑,쇼핑몰,11.7,95.3
문화관광,공연시설,10.1,28.3
문화관광,기타문화관광지,10.1,2.0
문화관광,도시공원,10.1,59.2
문화관광,레저스포츠시설,10.1,4.5
문화관광,전시시설,10.1,2.6
문화관광,테마공원,10.1,3.3
숙박,모텔,3.9,17.2
숙박,캠핑,3.9,0.3
숙박,콘도미니엄,3.9,0.6
숙박,호스텔,3.9,1.5
숙박,호텔,3.9,80.4
레저스포츠,기타레저스포츠,1.6,0.3
레저스포츠,육상레저스포츠,1.6,44.2
레저스포츠,수상레저스포츠,1.6,55.5
기타관광,기타관광,0.9,100.0
역사관광,종교성지,0.3,98.6
역사관광,역사유적지,0.3,1.4
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.1,100.0
