시군구명,시도명,관광지명,구분
파주시,경기도,파주 임진각(평화누리공원),역사관광지
파주시,경기도,헤이리 예술마을,체험관광지
파주시,경기도,벽초지수목원,자연관광지
파주시,경기도,감악산(파주),자연관광지
파주시,경기도,마장호수,자연관광지
파주시,경기도,쇠꼴마을,체험관광지
파주시,경기도,미메시스 아트 뮤지엄,문화시설
파주시,경기도,감악산 출렁다리,건축/조형물
파주시,경기도,마장호수 출렁다리,건축/조형물
파주시,경기도,제3땅굴,역사관광지
파주시,경기도,파주 출판도시,산업관광지
파주시,경기도,퍼스트가든,자연관광지
파주시,경기도,북카페 블루박스,음식점
파주시,경기도,도라전망대,건축/조형물
파주시,경기도,고구려최강달인의집,음식점
파주시,경기도,통일동산 관광특구,휴양관광지
파주시,경기도,우농타조농장,산업관광지
파주시,경기도,심학산 산림공원,자연관광지
파주시,경기도,오두산 통일전망대,건축/조형물
파주시,경기도,하니랜드,휴양관광지
파주시,경기도,캠프 그리브스,역사관광지
파주시,경기도,지혜의 숲,문화시설
파주시,경기도,모산목장,체험관광지
파주시,경기도,용상사(파주),역사관광지
파주시,경기도,콩스콩스두부,음식점
파주시,경기도,파주 카트랜드,육상 레포츠
파주시,경기도,반구정과 황희선생유적지,역사관광지
파주시,경기도,파주이이유적,역사관광지
파주시,경기도,파주 맛고을 음식문화거리,체험관광지
파주시,경기도,소울원,자연관광지
파주시,경기도,임진강 황포돛배,휴양관광지
파주시,경기도,평화랜드,자연관광지
파주시,경기도,파주 나비나라박물관,문화시설
파주시,경기도,파주 DMZ 생태연구소,자연관광지
파주시,경기도,복두부집,음식점
