순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202105,113980,113980.0
2,경기도,파주시,벽초지수목원,202105,65322,65322.0
3,경기도,파주시,퍼스트가든,202105,46363,46363.0
4,경기도,파주시,헤이리예술마을,202105,32570,32570.0
5,경기도,파주시,공릉관광지(하니랜드),202105,25501,25501.0
6,경기도,파주시,서서울컨트리클럽,202105,11718,11718.0
7,경기도,파주시,통일전망대,202105,11124,11124.0
8,경기도,파주시,서원밸리골프클럽,202105,8550,8550.0
9,경기도,파주시,파주삼릉,202105,7496,7496.0
10,경기도,파주시,율곡선생유적지,202105,7086,7086.0
11,경기도,파주시,황희선생유적지,202105,4961,4961.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202105,4832,4832.0
13,경기도,파주시,베스트밸리,202105,3494,3494.0
14,경기도,파주시,우농타조농장,202105,3278,3278.0
15,경기도,파주시,파주장릉,202105,3218,3218.0
16,경기도,파주시,제3땅굴,202105,2978,2978.0
17,경기도,파주시,소울원,202105,2805,2805.0
18,경기도,파주시,황포돛배,202105,2218,2218.0
19,경기도,파주시,산머루농원,202105,2001,2001.0
20,경기도,파주시,쇠꼴마을,202105,420,420.0
21,경기도,파주시,영집궁시박물관,202105,381,381.0
22,경기도,파주시,두루뫼박물관,202105,137,137.0
