유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,19.9,36.4
기타관광,기타관광,19.9,63.6
레저스포츠,기타레저스포츠,6.4,5.9
레저스포츠,수상레저스포츠,6.4,6.9
레저스포츠,육상레저스포츠,6.4,87.2
문화관광,기타문화관광지,11.7,4.2
문화관광,도시공원,11.7,40.6
문화관광,랜드마크관광,11.7,5.8
문화관광,복합관광시설,11.7,10.0
문화관광,테마공원,11.7,9.0
문화관광,레저스포츠시설,11.7,2.0
문화관광,공연시설,11.7,25.1
문화관광,전시시설,11.7,3.4
쇼핑,쇼핑몰,22.2,93.7
쇼핑,시장,22.2,3.7
쇼핑,기타쇼핑시설,22.2,2.6
숙박,기타숙박,5.5,0.0
숙박,모텔,5.5,28.1
숙박,펜션/민박,5.5,11.8
숙박,호스텔,5.5,1.8
숙박,호텔,5.5,22.7
숙박,캠핑,5.5,35.6
역사관광,역사유물,1.9,0.9
역사관광,역사유적지,1.9,39.4
역사관광,종교성지,1.9,59.7
음식,간이음식,31.1,20.0
음식,외국식,31.1,8.1
음식,음식점기타,31.1,0.4
음식,전문음식,31.1,19.2
음식,한식,31.1,33.2
음식,카페/찻집,31.1,19.1
자연관광,자연경관(하천/해양),1.1,32.3
자연관광,자연경관(산),1.1,46.0
자연관광,자연공원,1.1,21.7
체험관광,농/산/어촌체험,0.2,69.4
체험관광,웰니스관광,0.2,28.2
체험관광,공예체험,0.2,2.4
