순위,분류,관련 키워드,언급건수
1,기타가족,가족,4964
2,친구,친구,2831
3,회사동료,직원,2471
4,기타가족,엄마,1604
5,배우자,남편,1460
6,싱글,혼자,1414
7,부모님,부모,1381
8,친구,지인,1360
9,기타가족,가정,1153
10,자녀,학생,1140
11,친구,친구들,1124
12,부모님,부모님,1014
13,부모님,할머니,868
14,자녀,아들,837
15,기타가족,동생,755
16,부모님,아빠,707
17,자녀,청소년,637
18,배우자,신랑,591
19,자녀,자녀,589
20,연인,커플,586
21,기타가족,동서,571
22,연인,연인,569
23,기타가족,오빠,568
24,회사동료,직원들,565
25,기타가족,언니,535
26,자녀,애들,510
27,회사동료,대리,495
28,배우자,아내,481
29,부모님,어머니,377
30,부모님,아버지,373
31,기타가족,형제,353
31,기타가족,이모,353
33,배우자,배우자,351
34,자녀,장남,348
35,회사동료,동료,334
36,배우자,부인,319
37,회사동료,부장,296
38,연인,남자친구,284
39,싱글,혼자서,279
40,회사동료,직장동료,270
41,학생,대학생,265
42,기타가족,여동생,248
43,학생,초등학생,242
44,기타가족,조카,241
45,기타가족,식구,210
46,친구,동창,202
47,친구,프렌,196
48,부모님,할아버지,195
49,배우자,남편이랑,189
50,싱글,홀로,188
51,부모님,어머님,176
52,싱글,싱글,173
52,학생,고등학생,173
54,연인,여자친구,168
55,기타가족,손녀,164
56,친구,베프,163
57,기타가족,형,161
57,기타가족,장인,161
59,연인,남친,150
60,기타가족,손자,146
60,부모님,시부,146
62,기타가족,효자,144
63,자녀,딸,142
64,기타가족,친척,141
65,배우자,와이프,139
66,기타가족,자매,119
67,기타가족,패밀리,116
68,자녀,자식,113
69,회사동료,차장,108
70,기타가족,막내,105
71,기타가족,누나,103
72,기타가족,며느리,96
73,기타가족,남매,95
74,배우자,신부,92
74,기타가족,이모님,92
76,부모님,친정엄마,86
77,학생,초딩,84
78,회사동료,임원,83
79,기타가족,형님,81
80,기타가족,온가족,80
81,부모님,엄빠,79
82,부모님,아버님,78
82,기타가족,차남,78
84,회사동료,회사동료,76
85,기타가족,사촌,75
86,부모님,엄마아빠,73
87,학생,중학생,63
88,기타가족,남동생,61
88,자녀,딸아이,61
90,자녀,장녀,60
91,자녀,우리아이,56
92,자녀,아드님,55
93,기타가족,사위,53
94,연인,여친,52
95,부모님,아부지,51
95,기타가족,친지,51
97,기타가족,삼촌,50
98,기타가족,형부,47
99,부모님,시부모,46
99,기타가족,시댁,46
101,싱글,나홀로,45
101,회사동료,사원,45
101,부모님,시어머니,45
101,친구,칭구,45
105,부모님,모녀,44
105,자녀,딸램,44
107,자녀,미성년자,43
108,부모님,외할머니,42
109,기타가족,장모,39
109,자녀,딸래미,39
111,부모님,조부모,38
112,부모님,아비,37
113,학생,고3,36
113,친구,절친,36
113,기타가족,손주,36
113,부모님,시부모님,36
117,자녀,워킹맘,35
117,자녀,따님,35
117,자녀,딸내미,35
120,배우자,서방,34
120,연인,남친이,34
120,기타가족,고모,34
123,싱글,나혼자,33
124,배우자,남편님,31
125,자녀,큰아이,30
125,자녀,우리아들,30
127,배우자,남푠,28
128,기타가족,이모님들,27
128,배우자,남펴니,27
130,연인,애인,25
131,학생,중3,24
131,연인,예비신부,24
131,부모님,시모,24
134,부모님,울엄마,23
134,자녀,큰애,23
134,자녀,우리딸,23
137,기타가족,막둥이,22
138,부모님,할매,21
139,학생,고딩,19
139,학생,중2,19
141,부모님,증조부,18
141,자녀,큰아들,18
143,기타가족,태아,17
143,자녀,아들램,17
143,기타가족,숙부,17
143,배우자,마누라,17
143,부모님,장모님,17
143,학생,고2,17
143,기타가족,올케,17
150,부모님,어무니,16
150,학생,중1,16
150,기타가족,사촌동생,16
150,연인,예랑,16
150,연인,남치니,16
155,배우자,집사람,15
155,부모님,시아버지,15
157,부모님,외할아버지,14
157,기타가족,외삼촌,14
157,기타가족,가족모두,14
157,자녀,울아들,14
157,자녀,우리애,14
157,배우자,예랑이,14
157,자녀,아들래미,14
164,부모님,장인어른,13
164,자녀,우리아이들,13
164,배우자,예신,13
167,부모님,할머님,12
167,회사동료,회사사람,12
167,학생,중딩,12
167,배우자,남푠님,12
167,부모님,시어머님,12
167,자녀,차녀,12
167,친구,남사친,12
174,기타가족,숙모,11
174,자녀,외동,11
174,부모님,엄니,11
174,자녀,울애,11
174,학생,초1,11
174,배우자,남표니,11
180,기타가족,시누,10
180,자녀,맏아들,10
180,자녀,우리애들,10
180,회사동료,여직원,10
180,부모님,친정어머니,10
185,자녀,울애기,9
185,기타가족,친정식구,9
185,부모님,시아버님,9
185,자녀,아들내미,9
189,기타가족,사돈,8
189,자녀,둘째아들,8
189,기타가족,친정식구들,8
189,부모님,증조모,8
189,부모님,친정아버지,8
189,자녀,큰딸,8
189,배우자,우리신랑,8
189,부모님,친정아빠,8
189,배우자,애엄마,8
189,배우자,울신랑,8
189,학생,초3,8
189,기타가족,처제,8
189,연인,약혼자,8
202,자녀,저희딸,7
202,친구,룸메,7
202,자녀,둘째아이,7
202,싱글,독신,7
202,기타가족,시누이,7
202,배우자,저희남편,7
208,기타가족,시동생,6
208,자녀,큰놈,6
208,배우자,새색시,6
208,자녀,둘째딸,6
208,자녀,둥이들,6
208,부모님,어무이,6
208,자녀,아들녀석,6
208,친구,프렌드,6
216,자녀,손녀딸,5
216,자녀,직장맘,5
216,자녀,삼둥이,5
216,자녀,외동딸,5
216,기타가족,외손자,5
216,부모님,할무니,5
216,싱글,나홀로족,5
216,연인,예비신랑,5
216,기타가족,손자들,5
216,학생,고삼,5
216,연인,남친님,5
216,연인,썸남,5
216,자녀,첫째딸,5
229,배우자,와이프님,4
229,배우자,낭군님,4
229,자녀,울딸,4
229,배우자,마님,4
229,부모님,할배,4
229,자녀,딸냄,4
229,기타가족,손주들,4
229,자녀,저희아이,4
229,학생,초5,4
229,배우자,마눌님,4
