순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,995
2,레포츠,빠지,704
3,레포츠,캠핑,595
4,휴식/힐링,나들이,591
5,기타,투어,455
6,레포츠,등산,248
7,휴식/힐링,야영,227
8,레포츠,스키,160
9,레포츠,낚시,136
10,기타,데이트코스,118
11,기타,해외여행,110
12,미식,카페투어,101
13,기타,답사,79
14,레포츠,산행,77
15,레포츠,수상레저,75
16,레포츠,레저,74
17,휴식/힐링,휴양,67
18,휴식/힐링,피크닉,63
19,레포츠,글램핑,62
20,휴식/힐링,드라이브코스,60
21,레포츠,차박,53
22,휴식/힐링,호캉스,51
23,미식,맛집탐방,49
24,미식,먹부림,46
25,레포츠,레포츠,38
25,체험,생태체험,38
25,휴식/힐링,즐길거리,38
28,레포츠,오프로드,37
29,레포츠,오토캠핑,36
30,레포츠,트레킹,35
30,레포츠,스쿠버,35
32,레포츠,프리다이빙,33
33,레포츠,스킨스쿠버,32
33,레포츠,스킨다이빙,32
33,레포츠,오픈워터,32
36,레포츠,스노클링,30
36,레포츠,스노쿨링,30
36,휴식/힐링,생태관광,30
39,레포츠,ssi,29
40,휴식/힐링,불멍,28
41,휴식/힐링,북캉스,26
42,기타,제주여행,24
42,레포츠,카약,24
44,휴식/힐링,재충전,20
45,휴식/힐링,테라피,18
45,기타,테마여행,18
47,미식,빵지순례,17
47,기타,도보여행,17
49,미식,고기파티,15
49,미식,먹킷리스트,15
49,미식,먹방여행,15
49,레포츠,트래킹,15
53,휴식/힐링,일광욕,14
53,레포츠,서핑,14
55,미식,맛집투어,13
55,미식,바베큐파티,13
55,휴식/힐링,힐링여행,13
55,레포츠,수상스키,13
55,레포츠,오프로드라이딩,13
55,레포츠,감성캠핑,13
55,체험,오프로드체험,13
62,휴식/힐링,홈캉스,12
62,기타,자유여행,12
62,레포츠,캠프파이어,12
62,휴식/힐링,집콕생활,12
62,휴식/힐링,농촌여행,12
67,휴식/힐링,신혼여행,11
67,레포츠,카라반캠핑,11
67,레포츠,산악오토바이,11
67,레포츠,캠핑족,11
67,레포츠,패러글라이딩,11
72,레포츠,수상자전거,10
72,체험,동물체험,10
74,레포츠,스쿼시,9
75,체험,쿠킹클래스,8
75,체험,수학여행,8
75,기타,기차여행,8
75,기타,추억여행,8
75,레포츠,백패킹,8
75,레포츠,버기카,8
81,체험,물레체험,7
81,체험,농장체험,7
81,레포츠,클라이밍,7
81,체험,갯벌체험,7
81,기타,세계여행,7
81,체험,시티투어,7
87,체험,먹이주기체험,6
87,체험,숲체험,6
87,체험,도자기체험,6
87,레포츠,수상레져,6
87,레포츠,해양레저,6
87,휴식/힐링,근교여행,6
93,레포츠,노지캠핑,5
93,레포츠,짚라인,5
93,체험,공예체험,5
93,레포츠,바다낚시,5
97,기타,역사여행,4
97,기타,제주도여행,4
97,레포츠,하이킹,4
97,휴식/힐링,몰캉스,4
97,체험,템플스테이,4
97,휴식/힐링,가을여행,4
97,기타,배낭여행,4
97,체험,농촌체험,4
97,기타,자전거여행,4
97,휴식/힐링,카캉스,4
97,레포츠,스쿠버다이빙,4
97,레포츠,애슬레저,4
109,레포츠,래프팅,3
109,레포츠,캠프닉,3
109,레포츠,웨이크보드,3
109,미식,빵투어,3
109,체험,동물먹이주기체험,3
109,기타,걷기여행,3
109,기타,유럽여행,3
109,레포츠,스킨스쿠버다이빙,3
109,체험,공방체험,3
109,레포츠,골프투어,3
109,미식,애프터눈티,3
109,레포츠,수상스포츠,3
109,체험,농가체험,3
109,체험,vr체험,3
109,레포츠,산악자전거,3
124,체험,조개체험,2
124,레포츠,골프여행,2
124,휴식/힐링,우정여행,2
124,레포츠,제트스키,2
124,체험,향수만들기,2
124,레포츠,플라이낚시,2
124,레포츠,루어낚시,2
124,레포츠,스노우보드,2
124,기타,부산여행,2
124,체험,공포체험,2
124,체험,치즈체험,2
124,기타,세계일주,2
124,체험,동물먹이체험,2
124,체험,수확체험,2
138,기타,기념여행,1
138,레포츠,바나나보트,1
138,미식,맥주파티,1
138,체험,맨발체험,1
138,레포츠,심해잠수,1
138,휴식/힐링,단풍놀이,1
138,휴식/힐링,허니문,1
138,기타,동남아여행,1
138,레포츠,낚시여행,1
138,기타,데이트스냅,1
138,레포츠,게이트볼,1
138,체험,바다체험,1
138,체험,한옥체험,1
138,휴식/힐링,겨울여행,1
138,체험,미술체험,1
138,체험,한옥스테이,1
138,체험,목장체험,1
138,레포츠,서바이벌게임,1
138,레포츠,패러세일링,1
138,체험,교복체험,1
138,레포츠,스노우쿨링,1
138,레포츠,스카이다이빙,1
138,미식,먹거리투어,1
138,레포츠,naui,1
138,레포츠,행글라이더,1
138,체험,곤충체험,1
138,체험,농사체험,1
138,체험,동굴체험,1
138,체험,역사체험,1
138,레포츠,제트보트,1
138,레포츠,패들보트,1
138,체험,택시투어,1
138,기타,일본여행,1
138,레포츠,트레일러닝,1
138,체험,담력체험,1
138,레포츠,모토캠핑,1
138,레포츠,배스낚시,1
138,레포츠,번지점프,1
138,레포츠,암벽등반,1
138,미식,삼겹살파티,1
138,미식,식도락여행,1
138,체험,버스투어,1
138,체험,승마체험,1
138,체험,염색체험,1
138,휴식/힐링,크루즈여행,1
138,휴식/힐링,펫캉스,1
138,기타,스탬프투어,1
138,레포츠,블롭점프,1
138,레포츠,원스키,1
138,레포츠,캠핑여행,1
138,체험,국궁체험,1
138,휴식/힐링,백캉스,1
138,체험,카약체험,1
