광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,4,25.0
강원특별자치도,원주시,1,6.3
강원특별자치도,홍천군,2,12.5
강원특별자치도,횡성군,1,6.3
강원특별자치도,평창군,2,12.5
강원특별자치도,철원군,1,6.3
강원특별자치도,화천군,3,18.8
강원특별자치도,인제군,1,6.3
강원특별자치도,양양군,1,6.3
경기도,수원시 장안구,5,0.3
경기도,수원시 권선구,12,0.6
경기도,수원시 팔달구,4,0.2
경기도,수원시 영통구,15,0.8
경기도,성남시 수정구,10,0.5
경기도,성남시 중원구,9,0.5
경기도,성남시 분당구,13,0.7
경기도,의정부시,49,2.5
경기도,안양시 만안구,6,0.3
경기도,안양시 동안구,18,0.9
경기도,부천시,66,3.3
경기도,광명시,17,0.9
경기도,평택시,22,1.1
경기도,동두천시,11,0.6
경기도,안산시 상록구,6,0.3
경기도,안산시 단원구,9,0.5
경기도,고양시 덕양구,327,16.5
경기도,고양시 일산동구,398,20.1
경기도,고양시 일산서구,480,24.2
경기도,과천시,1,0.1
경기도,구리시,13,0.7
경기도,남양주시,36,1.8
경기도,오산시,2,0.1
경기도,시흥시,31,1.6
경기도,군포시,4,0.2
경기도,의왕시,4,0.2
경기도,하남시,11,0.6
경기도,용인시 처인구,7,0.4
경기도,용인시 기흥구,7,0.4
경기도,용인시 수지구,9,0.5
경기도,이천시,7,0.4
경기도,안성시,8,0.4
경기도,김포시,131,6.6
경기도,화성시,28,1.4
경기도,광주시,13,0.7
경기도,양주시,112,5.7
경기도,포천시,19,1.0
경기도,여주시,2,0.1
경기도,연천군,50,2.5
경기도,가평군,6,0.3
경기도,양평군,2,0.1
경상남도,양산시,1,50.0
경상남도,합천군,1,50.0
경상북도,김천시,1,9.1
경상북도,구미시,6,54.5
경상북도,영주시,1,9.1
경상북도,영천시,1,9.1
경상북도,문경시,1,9.1
경상북도,칠곡군,1,9.1
광주광역시,광산구,2,100.0
대구광역시,북구,2,100.0
대전광역시,동구,2,40.0
대전광역시,중구,1,20.0
대전광역시,서구,1,20.0
대전광역시,유성구,1,20.0
부산광역시,동래구,1,25.0
부산광역시,북구,1,25.0
부산광역시,해운대구,1,25.0
부산광역시,금정구,1,25.0
서울특별시,종로구,12,1.5
서울특별시,중구,19,2.4
서울특별시,용산구,33,4.2
서울특별시,성동구,13,1.6
서울특별시,광진구,9,1.1
서울특별시,동대문구,8,1.0
서울특별시,중랑구,22,2.8
서울특별시,성북구,26,3.3
서울특별시,강북구,10,1.3
서울특별시,도봉구,17,2.1
서울특별시,노원구,18,2.3
서울특별시,은평구,61,7.7
서울특별시,서대문구,32,4.0
서울특별시,마포구,102,12.8
서울특별시,양천구,52,6.5
서울특별시,강서구,117,14.7
서울특별시,구로구,24,3.0
서울특별시,금천구,23,2.9
서울특별시,영등포구,52,6.5
서울특별시,동작구,25,3.1
서울특별시,관악구,11,1.4
서울특별시,서초구,30,3.8
서울특별시,강남구,36,4.5
서울특별시,송파구,27,3.4
서울특별시,강동구,15,1.9
울산광역시,중구,1,50.0
울산광역시,동구,1,50.0
인천광역시,중구,26,9.2
인천광역시,동구,5,1.8
인천광역시,남구,2,0.7
인천광역시,미추홀구,17,6.0
인천광역시,연수구,17,6.0
인천광역시,남동구,43,15.2
인천광역시,부평구,37,13.1
인천광역시,계양구,47,16.6
인천광역시,서구,86,30.4
인천광역시,강화군,3,1.1
전북특별자치도,익산시,1,50.0
전북특별자치도,무주군,1,50.0
충청남도,천안시 동남구,2,6.1
충청남도,천안시 서북구,15,45.5
충청남도,공주시,3,9.1
충청남도,보령시,3,9.1
충청남도,아산시,5,15.2
충청남도,서산시,2,6.1
충청남도,논산시,1,3.0
충청남도,당진시,1,3.0
충청남도,홍성군,1,3.0
충청북도,청주시 상당구,1,6.7
충청북도,청주시 서원구,1,6.7
충청북도,청주시 흥덕구,1,6.7
충청북도,청주시 청원구,1,6.7
충청북도,충주시,3,20.0
충청북도,옥천군,1,6.7
충청북도,진천군,1,6.7
충청북도,괴산군,1,6.7
충청북도,음성군,5,33.3
