지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1157.0,3.0
41113,수원시 권선구,1342.0,2.93
41115,수원시 팔달구,753.0,2.63
41117,수원시 영통구,1057.0,2.97
41131,성남시 수정구,1084.0,2.96
41133,성남시 중원구,1261.0,2.8
41135,성남시 분당구,1059.0,3.07
41150,의정부시,1803.0,3.02
41171,안양시 만안구,1100.0,2.87
41173,안양시 동안구,1230.0,2.96
41190,부천시,1686.0,3.06
41210,광명시,1024.0,2.93
41220,평택시,2430.0,3.06
41250,동두천시,1757.0,2.95
41271,안산시 상록구,1860.0,2.99
41273,안산시 단원구,1255.0,2.7
41281,고양시 덕양구,1093.0,3.06
41285,고양시 일산동구,1010.0,3.0
41287,고양시 일산서구,999.0,2.99
41290,과천시,715.0,2.85
41310,구리시,904.0,2.99
41360,남양주시,1439.0,2.93
41370,오산시,1570.0,2.98
41390,시흥시,1291.0,2.93
41410,군포시,1457.0,2.97
41430,의왕시,777.0,2.9
41450,하남시,840.0,3.0
41461,용인시 처인구,1353.0,2.77
41463,용인시 기흥구,1235.0,3.03
41465,용인시 수지구,1436.0,3.02
41480,파주시,1321.0,2.87
41500,이천시,1429.0,2.99
41550,안성시,1228.0,2.86
41570,김포시,1604.0,3.08
41590,화성시,1746.0,2.92
41610,광주시,1235.0,2.99
41630,양주시,1376.0,2.87
41650,포천시,1374.0,2.54
41670,여주시,1104.0,2.73
41800,연천군,1372.0,2.53
41820,가평군,1108.0,2.23
41830,양평군,885.0,2.43
