유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 고양시 일산서구 , 경기도 파주시,22.2,1
경기도 고양시 일산동구 , 경기도 파주시,14.2,1
경기도 고양시 덕양구 , 경기도 파주시,11.0,1
경기도 김포시 , 경기도 파주시,4.3,1
서울특별시 강서구 , 경기도 파주시,4.0,1
서울특별시 마포구 , 경기도 파주시,3.9,1
경기도 양주시 , 경기도 파주시,2.8,1
서울특별시 은평구 , 경기도 파주시,2.3,1
경기도 부천시 , 경기도 파주시,2.0,1
서울특별시 영등포구 , 경기도 파주시,1.9,1
서울특별시 양천구 , 경기도 파주시,1.8,1
인천광역시 서구 , 경기도 파주시,1.6,1
경기도 의정부시 , 경기도 파주시,1.4,1
서울특별시 서대문구 , 경기도 파주시,1.3,1
경기도 연천군 , 경기도 파주시,1.2,1
서울특별시 강남구 , 경기도 파주시,1.1,1
인천광역시 계양구 , 경기도 파주시,1.1,1
서울특별시 용산구 , 경기도 파주시,1.0,1
서울특별시 서초구 , 경기도 파주시,1.0,1
인천광역시 부평구 , 경기도 파주시,1.0,1
 경기도 파주시,경기도 고양시 일산동구,22.6,2
 경기도 파주시,경기도 고양시 일산서구,22.1,2
 경기도 파주시,경기도 고양시 덕양구,10.6,2
 경기도 파주시,경기도 김포시,3.9,2
 경기도 파주시,경기도 양주시,3.0,2
 경기도 파주시,서울특별시 강서구,2.8,2
 경기도 파주시,서울특별시 마포구,2.8,2
 경기도 파주시,서울특별시 강남구,2.0,2
 경기도 파주시,서울특별시 영등포구,1.5,2
 경기도 파주시,서울특별시 은평구,1.5,2
 경기도 파주시,경기도 의정부시,1.4,2
 경기도 파주시,서울특별시 중구,1.4,2
 경기도 파주시,서울특별시 용산구,1.3,2
 경기도 파주시,경기도 연천군,1.3,2
 경기도 파주시,경기도 부천시,1.1,2
 경기도 파주시,인천광역시 중구,1.1,2
 경기도 파주시,경기도 남양주시,1.0,2
 경기도 파주시,인천광역시 서구,0.9,2
 경기도 파주시,경기도 포천시,0.9,2
 경기도 파주시,서울특별시 서대문구,0.8,2
