업종중분류명,업체명,방문자수,순위
음식,스타벅스/파주야당역점,19.0,1
음식,더티트렁크,18.0,2
음식,라플란드,17.0,3
음식,심학산도토리국수/본점,10.0,4
음식,벙커힐,10.0,5
음식,스타벅스/파주운정점,9.0,6
음식,버거킹/파주야당역점,8.0,7
음식,무고레,8.0,8
음식,훈장골/파주점,7.0,9
음식,평양손만두/파주운정점,7.0,10
쇼핑,롯데프리미엄아울렛/파주점,204.0,1
쇼핑,신세계프리미엄아울렛/파주점,180.0,2
쇼핑,이마트/파주운정점,55.0,3
쇼핑,홈플러스/파주운정점,39.0,4
쇼핑,운정가구타운,20.0,5
쇼핑,이마트/파주점,9.0,6
쇼핑,홈플러스/파주문산점,7.0,7
쇼핑,롯데쇼핑롭스파주아울렛점,3.0,8
쇼핑,문산자유시장,2.0,9
쇼핑,연풍시장,1.0,10
문화관광,운정호수공원,35.0,1
문화관광,평화누리,10.0,2
문화관광,자유로자동차극장,8.0,3
문화관광,율곡습지공원,6.0,4
문화관광,메가박스/파주운정,5.0,5
문화관광,퍼스트가든,4.0,6
문화관광,운정건강공원,4.0,7
문화관광,하니랜드,3.0,8
문화관광,교하체육공원,2.0,9
문화관광,교하중앙공원,2.0,10
