유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,47.3,11.2
음식,외국식,47.3,7.5
음식,음식점기타,47.3,0.4
음식,전문음식,47.3,20.4
음식,카페/찻집,47.3,21.5
음식,한식,47.3,38.9
쇼핑,시장,15.1,2.2
쇼핑,쇼핑몰,15.1,92.3
쇼핑,기타쇼핑시설,15.1,5.5
기타관광,기타관광,13.3,100.0
문화관광,테마공원,10.1,3.8
문화관광,전시시설,10.1,4.8
문화관광,복합관광시설,10.1,6.2
문화관광,레저스포츠시설,10.1,3.5
문화관광,랜드마크관광,10.1,3.1
문화관광,도시공원,10.1,39.4
문화관광,기타문화관광지,10.1,3.6
문화관광,공연시설,10.1,35.7
레저스포츠,육상레저스포츠,7.7,92.5
레저스포츠,수상레저스포츠,7.7,6.0
레저스포츠,기타레저스포츠,7.7,1.5
숙박,캠핑,3.1,41.7
숙박,호텔,3.1,20.3
숙박,펜션/민박,3.1,0.1
숙박,콘도미니엄,3.1,3.7
숙박,모텔,3.1,33.2
숙박,기타숙박,3.1,0.9
역사관광,역사유적지,1.6,33.4
역사관광,종교성지,1.6,63.6
역사관광,역사유물,1.6,2.9
자연관광,자연경관(산),1.5,63.2
자연관광,자연경관(하천/해양),1.5,9.7
자연관광,자연공원,1.5,27.1
체험관광,농/산/어촌체험,0.3,92.3
체험관광,웰니스관광,0.3,7.7
