유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,70.8,39.2
음식,간이음식,70.8,9.5
음식,외국식,70.8,11.0
음식,음식점기타,70.8,1.7
음식,전문음식,70.8,25.4
음식,카페/찻집,70.8,13.3
문화관광,공연시설,11.6,18.1
문화관광,기타문화관광지,11.6,1.0
문화관광,도시공원,11.6,72.5
문화관광,레저스포츠시설,11.6,5.7
문화관광,전시시설,11.6,1.5
문화관광,테마공원,11.6,1.3
쇼핑,기타쇼핑시설,11.5,3.2
쇼핑,쇼핑몰,11.5,96.8
숙박,모텔,3.4,18.3
숙박,캠핑,3.4,0.5
숙박,호텔,3.4,81.2
레저스포츠,기타레저스포츠,1.1,2.4
레저스포츠,육상레저스포츠,1.1,6.8
레저스포츠,수상레저스포츠,1.1,90.8
기타관광,기타관광,0.9,100.0
역사관광,종교성지,0.5,95.1
역사관광,역사유적지,0.5,4.9
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
