순위,분류,관련 키워드,언급건수
1,기타가족,가족,5779
2,친구,친구,3320
3,회사동료,직원,2765
4,기타가족,엄마,2052
5,부모님,부모,1727
6,배우자,남편,1715
7,싱글,혼자,1581
8,부모님,부모님,1431
9,친구,친구들,1412
10,기타가족,가정,1295
11,친구,지인,1258
12,부모님,아빠,959
13,자녀,아들,905
14,배우자,신랑,832
15,연인,커플,764
16,기타가족,오빠,746
17,기타가족,언니,714
18,기타가족,동생,709
19,자녀,학생,687
20,자녀,애들,674
21,연인,연인,630
22,부모님,할머니,612
23,회사동료,대리,572
24,회사동료,직원들,511
25,자녀,자녀,505
26,배우자,아내,457
27,부모님,어머니,434
28,회사동료,직장동료,392
29,친구,동창,383
30,기타가족,조카,379
31,친구,베프,372
32,연인,남자친구,361
33,배우자,부인,344
34,기타가족,이모,333
35,기타가족,동서,329
36,부모님,아버지,314
37,자녀,청소년,312
38,회사동료,동료,311
39,부모님,시부,291
40,싱글,혼자서,284
41,기타가족,식구,238
42,기타가족,장인,233
43,자녀,딸,224
44,배우자,남편이랑,209
45,자녀,자식,204
45,배우자,와이프,204
47,학생,대학생,203
47,연인,남친,203
49,회사동료,부장,194
50,친구,프렌,191
51,싱글,홀로,182
52,부모님,어머님,179
53,연인,여자친구,175
54,기타가족,형제,172
55,부모님,할아버지,170
56,기타가족,패밀리,167
57,기타가족,자매,156
57,기타가족,막내,156
59,학생,초등학생,147
60,회사동료,회사동료,146
61,회사동료,임원,137
62,기타가족,손자,135
63,싱글,싱글,134
64,기타가족,형,131
65,기타가족,누나,130
66,기타가족,삼촌,127
67,배우자,배우자,111
68,기타가족,효자,110
69,학생,고3,108
70,자녀,장남,104
70,학생,초딩,104
72,기타가족,장모,100
73,기타가족,이모님,99
73,기타가족,온가족,99
75,부모님,엄마아빠,98
76,기타가족,친척,97
77,기타가족,사촌,96
78,자녀,딸아이,95
79,부모님,엄빠,92
79,싱글,나혼자,92
81,기타가족,형님,89
82,기타가족,시댁,86
83,학생,고등학생,85
84,부모님,외할머니,83
85,부모님,아버님,81
86,친구,칭구,78
87,기타가족,남동생,77
88,부모님,아비,74
89,기타가족,며느리,71
90,자녀,미성년자,69
91,기타가족,형부,68
92,배우자,신부,67
92,부모님,친정엄마,67
94,회사동료,차장,64
95,자녀,아드님,61
