순위,분류,관련 키워드,언급건수
1,휴식/힐링,힐링,1005
2,레포츠,캠핑,833
3,휴식/힐링,나들이,707
4,기타,투어,677
5,레포츠,빠지,632
6,레포츠,등산,310
7,레포츠,레저,180
8,기타,데이트코스,146
9,레포츠,산행,125
10,레포츠,트레일러닝,121
11,레포츠,낚시,93
12,기타,답사,90
13,휴식/힐링,피크닉,79
14,휴식/힐링,즐길거리,77
15,레포츠,캠핑족,76
16,미식,카페투어,72
17,기타,해외여행,71
17,휴식/힐링,생태관광,71
19,레포츠,글램핑,68
20,휴식/힐링,불멍,66
21,레포츠,수상레저,65
22,레포츠,차박,60
23,휴식/힐링,단풍놀이,54
23,휴식/힐링,휴양,54
25,레포츠,스키,53
26,휴식/힐링,가을여행,48
26,휴식/힐링,야영,48
28,레포츠,카약,46
29,레포츠,트레킹,43
30,휴식/힐링,드라이브코스,41
31,미식,먹부림,39
31,체험,승마체험,39
33,휴식/힐링,북캉스,37
34,휴식/힐링,호캉스,34
35,휴식/힐링,물멍,32
36,미식,맛집탐방,31
37,레포츠,오토캠핑,30
38,기타,테마여행,29
39,레포츠,오프로드,27
39,레포츠,수상자전거,27
41,휴식/힐링,테라피,24
42,체험,숲체험,23
43,레포츠,서핑,22
44,기타,도보여행,21
45,레포츠,백패킹,20
45,휴식/힐링,신혼여행,20
45,레포츠,트래킹,20
48,미식,맛집투어,19
48,휴식/힐링,힐링여행,19
50,미식,먹방여행,17
51,미식,빵지순례,16
52,체험,생태체험,15
53,미식,먹킷리스트,14
53,기타,추억여행,14
53,미식,고기파티,14
56,레포츠,캠프파이어,11
57,레포츠,골프투어,10
57,체험,도자기체험,10
57,휴식/힐링,집콕생활,10
57,휴식/힐링,재충전,10
57,레포츠,감성캠핑,10
57,레포츠,짚라인,10
63,레포츠,카라반캠핑,9
63,미식,바베큐파티,9
63,기타,스탬프투어,9
63,체험,동물체험,9
63,휴식/힐링,일광욕,9
68,기타,제주여행,8
68,레포츠,오프로드라이딩,8
68,기타,유럽여행,8
68,체험,물레체험,8
68,레포츠,ssi,8
68,체험,딸기체험,8
68,체험,오프로드체험,8
68,휴식/힐링,겨울여행,8
68,레포츠,프리다이빙,8
77,기타,세계여행,7
77,휴식/힐링,차크닉,7
77,기타,자전거여행,7
77,체험,시티투어,7
77,레포츠,클라이밍,7
82,체험,농촌체험,6
82,레포츠,레포츠,6
82,레포츠,수상레져,6
82,체험,갯벌체험,6
82,체험,원예체험,6
87,레포츠,수상스키,5
87,체험,먹이주기체험,5
87,체험,수학여행,5
87,체험,템플스테이,5
87,기타,배낭여행,5
87,레포츠,암벽등반,5
87,기타,걷기여행,5
87,체험,공예체험,5
87,레포츠,스쿠버,5
87,미식,빵투어,5
87,휴식/힐링,감성여행,5
87,기타,부산여행,5
87,레포츠,캠프닉,5
87,휴식/힐링,노을뷰,5
101,레포츠,배스낚시,4
101,레포츠,산악오토바이,4
101,휴식/힐링,근교여행,4
101,레포츠,하이킹,4
101,휴식/힐링,시골여행,4
101,체험,동물먹이주기체험,4
101,체험,vr체험,4
101,레포츠,노지캠핑,4
109,레포츠,산악자전거,3
109,레포츠,해양레저,3
109,체험,농장체험,3
109,휴식/힐링,모캉스,3
109,체험,놀이체험,3
109,체험,수확체험,3
109,레포츠,스노클링,3
109,체험,전통놀이체험,3
109,휴식/힐링,태교여행,3
109,체험,한복체험,3
109,레포츠,padi,3
109,미식,맥주파티,3
121,레포츠,글라이더,2
121,레포츠,레저스포츠,2
121,레포츠,번지점프,2
121,레포츠,해양스포츠,2
121,미식,삼겹살파티,2
121,기타,제주도여행,2
121,레포츠,루어낚시,2
121,레포츠,패러글라이딩,2
121,체험,미술체험,2
121,체험,공포체험,2
121,휴식/힐링,드라이브여행,2
121,휴식/힐링,숲캉스,2
121,레포츠,골프여행,2
121,레포츠,스쿠버다이빙,2
121,체험,어촌체험,2
121,체험,쿠킹클래스,2
121,체험,물놀이체험,2
121,휴식/힐링,홈캉스,2
121,기타,일본여행,2
121,미식,와이너리투어,2
121,체험,다도체험,2
121,휴식/힐링,홈캠핑,2
121,기타,미국여행,2
121,레포츠,게이트볼,2
121,휴식/힐링,숲멍,2
121,휴식/힐링,온천여행,2
147,레포츠,애슬레저,1
147,미식,애프터눈티,1
147,체험,곤충체험,1
147,체험,농사체험,1
147,체험,목공체험,1
147,체험,염색체험,1
147,체험,조향체험,1
147,휴식/힐링,산멍,1
147,휴식/힐링,우정여행,1
147,체험,한옥스테이,1
147,체험,닥터피쉬체험,1
147,휴식/힐링,카캉스,1
147,체험,교복체험,1
147,휴식/힐링,즉흥여행,1
147,기타,패키지여행,1
147,체험,향수만들기,1
147,기타,세계일주,1
147,체험,동물먹이체험,1
147,체험,텃밭체험,1
147,휴식/힐링,농촌여행,1
147,휴식/힐링,봄여행,1
147,레포츠,캠핑라이프,1
147,휴식/힐링,일몰뷰,1
147,기타,기차여행,1
147,기타,자유여행,1
147,레포츠,제트스키,1
147,미식,식도락여행,1
147,체험,민속놀이체험,1
147,휴식/힐링,허니문,1
147,레포츠,스쿼시,1
147,레포츠,웨이크보드,1
147,레포츠,캠핑여행,1
147,미식,빵집순례,1
147,체험,우주체험,1
147,체험,말타기체험,1
147,레포츠,수상스포츠,1
147,체험,지게체험,1
147,체험,클라이밍체험,1
147,레포츠,스노쿨링,1
147,레포츠,알빙,1
147,레포츠,플라이낚시,1
147,체험,루지체험,1
147,기타,역사여행,1
147,레포츠,래프팅,1
147,체험,요리체험,1
