광역지자체명,기초지자체명,기초지자체별 거주 방문자 수,기초지자체별 거주 방문자 비율
강원특별자치도,춘천시,2,10.0
강원특별자치도,원주시,2,10.0
강원특별자치도,강릉시,4,20.0
강원특별자치도,동해시,1,5.0
강원특별자치도,태백시,1,5.0
강원특별자치도,삼척시,1,5.0
강원특별자치도,홍천군,2,10.0
강원특별자치도,횡성군,1,5.0
강원특별자치도,철원군,3,15.0
강원특별자치도,인제군,2,10.0
강원특별자치도,고성군,1,5.0
경기도,수원시 장안구,6,0.2
경기도,수원시 권선구,15,0.5
경기도,수원시 팔달구,8,0.3
경기도,수원시 영통구,20,0.6
경기도,성남시 수정구,7,0.2
경기도,성남시 중원구,6,0.2
경기도,성남시 분당구,24,0.8
경기도,의정부시,78,2.4
경기도,안양시 만안구,10,0.3
경기도,안양시 동안구,19,0.6
경기도,부천시,143,4.5
경기도,광명시,26,0.8
경기도,평택시,10,0.3
경기도,동두천시,12,0.4
경기도,안산시 상록구,14,0.4
경기도,안산시 단원구,14,0.4
경기도,고양시 덕양구,599,18.8
경기도,고양시 일산동구,610,19.1
경기도,고양시 일산서구,734,23.0
경기도,과천시,5,0.2
경기도,구리시,25,0.8
경기도,남양주시,65,2.0
경기도,오산시,1,0.0
경기도,시흥시,47,1.5
경기도,군포시,15,0.5
경기도,의왕시,6,0.2
경기도,하남시,20,0.6
경기도,용인시 처인구,8,0.3
경기도,용인시 기흥구,16,0.5
경기도,용인시 수지구,10,0.3
경기도,이천시,10,0.3
경기도,안성시,3,0.1
경기도,김포시,317,9.9
경기도,화성시,46,1.4
경기도,광주시,12,0.4
경기도,양주시,149,4.7
경기도,포천시,19,0.6
경기도,여주시,6,0.2
경기도,연천군,51,1.6
경기도,가평군,1,0.0
경기도,양평군,5,0.2
경상남도,창원시 성산구,1,50.0
경상남도,김해시,1,50.0
경상북도,포항시 북구,1,5.3
경상북도,구미시,7,36.8
경상북도,영천시,3,15.8
경상북도,상주시,2,10.5
경상북도,문경시,1,5.3
경상북도,칠곡군,4,21.1
경상북도,봉화군,1,5.3
대구광역시,북구,1,50.0
대구광역시,달성군,1,50.0
대전광역시,동구,2,25.0
대전광역시,중구,1,12.5
대전광역시,유성구,3,37.5
대전광역시,대덕구,2,25.0
부산광역시,북구,1,25.0
부산광역시,기장군,3,75.0
서울특별시,종로구,23,1.8
서울특별시,중구,23,1.8
서울특별시,용산구,49,3.9
서울특별시,성동구,14,1.1
서울특별시,광진구,18,1.4
서울특별시,동대문구,18,1.4
서울특별시,중랑구,18,1.4
서울특별시,성북구,36,2.8
서울특별시,강북구,22,1.7
서울특별시,도봉구,22,1.7
서울특별시,노원구,36,2.8
서울특별시,은평구,112,8.8
서울특별시,서대문구,46,3.6
서울특별시,마포구,157,12.4
서울특별시,양천구,92,7.3
서울특별시,강서구,192,15.1
서울특별시,구로구,52,4.1
서울특별시,금천구,30,2.4
서울특별시,영등포구,92,7.3
서울특별시,동작구,57,4.5
서울특별시,관악구,29,2.3
서울특별시,서초구,40,3.2
서울특별시,강남구,49,3.9
서울특별시,송파구,19,1.5
서울특별시,강동구,22,1.7
울산광역시,울주군,1,100.0
인천광역시,중구,26,6.6
인천광역시,동구,7,1.8
인천광역시,미추홀구,23,5.9
인천광역시,연수구,39,9.9
인천광역시,남동구,45,11.5
인천광역시,부평구,56,14.2
인천광역시,계양구,71,18.1
인천광역시,서구,118,30.0
인천광역시,강화군,8,2.0
전라남도,보성군,2,66.7
전라남도,무안군,1,33.3
전북특별자치도,전주시 완산구,1,25.0
전북특별자치도,전주시 덕진구,1,25.0
전북특별자치도,김제시,1,25.0
전북특별자치도,부안군,1,25.0
충청남도,천안시 동남구,6,21.4
충청남도,천안시 서북구,2,7.1
충청남도,공주시,1,3.6
충청남도,보령시,2,7.1
충청남도,아산시,4,14.3
충청남도,서산시,5,17.9
충청남도,논산시,2,7.1
충청남도,당진시,3,10.7
충청남도,서천군,2,7.1
충청남도,예산군,1,3.6
충청북도,청주시 서원구,3,18.8
충청북도,청주시 청원구,4,25.0
충청북도,충주시,5,31.3
충청북도,제천시,2,12.5
충청북도,진천군,1,6.3
충청북도,음성군,1,6.3
