지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,976.0,2.91
41113,수원시 권선구,1122.0,2.88
41115,수원시 팔달구,657.0,2.6
41117,수원시 영통구,998.0,2.96
41131,성남시 수정구,973.0,2.91
41133,성남시 중원구,1151.0,2.77
41135,성남시 분당구,931.0,3.02
41150,의정부시,1480.0,2.94
41171,안양시 만안구,1042.0,2.83
41173,안양시 동안구,1049.0,2.88
41190,부천시,1399.0,2.98
41210,광명시,819.0,2.87
41220,평택시,2322.0,3.04
41250,동두천시,1394.0,2.84
41271,안산시 상록구,1496.0,2.92
41273,안산시 단원구,1169.0,2.72
41281,고양시 덕양구,943.0,2.97
41285,고양시 일산동구,920.0,2.97
41287,고양시 일산서구,1123.0,3.07
41290,과천시,566.0,2.95
41310,구리시,713.0,2.88
41360,남양주시,1344.0,2.93
41370,오산시,1373.0,2.91
41390,시흥시,1268.0,2.92
41410,군포시,1155.0,2.88
41430,의왕시,705.0,2.82
41450,하남시,826.0,2.98
41461,용인시 처인구,1159.0,2.75
41463,용인시 기흥구,1115.0,2.99
41465,용인시 수지구,1275.0,2.98
41480,파주시,1268.0,2.9
41500,이천시,1161.0,2.87
41550,안성시,968.0,2.79
41570,김포시,1329.0,2.96
41590,화성시,1518.0,2.88
41610,광주시,1043.0,2.85
41630,양주시,1325.0,2.87
41650,포천시,1274.0,2.59
41670,여주시,934.0,2.68
41800,연천군,1346.0,2.61
41820,가평군,1174.0,2.29
41830,양평군,850.0,2.45
