업종중분류명,업체명,방문자수,순위
음식,가나안덕/일산본점,38.0,1
음식,일산칼국수/본점,31.0,2
음식,설문커피,16.0,3
음식,명가원설농탕,14.0,4
음식,뿅의전설/일산점 [중식],9.0,5
음식,피스피스/2호점,9.0,6
음식,메밀꽃이피었습니다/일산본점,9.0,7
음식,매드포갈릭/일산웨스턴돔점,8.0,8
음식,쿠우쿠우/일산호수공원점,8.0,9
음식,미덕원/일산점,8.0,10
쇼핑,라페스타,114.0,1
쇼핑,코스트코홀세일/일산점,89.0,2
쇼핑,벨라시타,58.0,3
쇼핑,롯데백화점/일산점,39.0,4
쇼핑,이마트/풍산점,33.0,5
쇼핑,뉴코아아울렛/일산점,27.0,6
쇼핑,이마트/일산점,15.0,7
쇼핑,롯데아울렛/고양터미널점,12.0,8
쇼핑,홈플러스/고양터미널점,11.0,9
쇼핑,홈플러스/일산점,8.0,10
문화관광,일산호수공원,37.0,1
문화관광,CGV/일산,23.0,2
문화관광,메가박스/백석,9.0,3
문화관광,롯데시네마/라페스타,6.0,4
문화관광,고양아람누리,4.0,5
문화관광,중산체육공원,3.0,6
문화관광,메가박스/일산벨라시타,2.0,7
문화관광,아람미술관,2.0,8
문화관광,방기공원,2.0,9
문화관광,키즈라움스위밍아카데미,1.0,10
