업종중분류명,업체명,방문자수,순위
쇼핑,롯데프리미엄아울렛/파주점,250.0,1
쇼핑,신세계프리미엄아울렛/파주점,228.0,2
쇼핑,이마트/파주운정점,53.0,3
쇼핑,홈플러스/파주운정점,44.0,4
쇼핑,운정가구타운,39.0,5
쇼핑,이마트/파주점,16.0,6
쇼핑,홈플러스/파주문산점,5.0,7
쇼핑,광탄경매시장,1.0,8
쇼핑,롯데쇼핑롭스파주아울렛점,1.0,9
쇼핑,법원시장,1.0,10
음식,더티트렁크,22.0,1
음식,라플란드,15.0,2
음식,이삭토스트 파주운정이마트점,9.0,3
음식,스타벅스/파주야당역점,9.0,4
음식,공차/파주교하점,8.0,5
음식,평양손만두/파주운정점,8.0,6
음식,내사랑동까스,8.0,7
음식,타샤의정원/[한식],8.0,8
음식,아늑,7.0,9
음식,버거킹/파주야당역점,7.0,10
문화관광,운정호수공원,44.0,1
문화관광,평화누리,16.0,2
문화관광,퍼스트가든,11.0,3
문화관광,메가박스/파주운정,9.0,4
문화관광,자유로자동차극장,9.0,5
문화관광,운정건강공원,7.0,6
문화관광,마장호수공원,3.0,7
문화관광,하니랜드,3.0,8
문화관광,메가박스/파주금촌,2.0,9
문화관광,평화랜드,2.0,10
