유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,43.0,11.4
음식,외국식,43.0,8.8
음식,음식점기타,43.0,0.3
음식,전문음식,43.0,19.8
음식,카페/찻집,43.0,23.4
음식,한식,43.0,36.2
쇼핑,시장,22.2,2.2
쇼핑,쇼핑몰,22.2,94.9
쇼핑,기타쇼핑시설,22.2,2.9
기타관광,기타관광,12.8,100.0
문화관광,테마공원,9.4,4.2
문화관광,전시시설,9.4,3.6
문화관광,복합관광시설,9.4,8.3
문화관광,레저스포츠시설,9.4,4.7
문화관광,랜드마크관광,9.4,3.8
문화관광,도시공원,9.4,45.9
문화관광,기타문화관광지,9.4,4.4
문화관광,공연시설,9.4,25.2
레저스포츠,육상레저스포츠,5.7,91.2
레저스포츠,수상레저스포츠,5.7,4.5
레저스포츠,기타레저스포츠,5.7,4.3
숙박,모텔,3.5,28.3
숙박,호텔,3.5,28.0
숙박,콘도미니엄,3.5,1.0
숙박,캠핑,3.5,42.1
숙박,기타숙박,3.5,0.6
역사관광,종교성지,1.7,59.7
역사관광,역사유적지,1.7,40.3
자연관광,자연경관(산),1.2,41.9
자연관광,자연경관(하천/해양),1.2,9.6
자연관광,자연공원,1.2,48.5
체험관광,농/산/어촌체험,0.4,97.4
체험관광,웰니스관광,0.4,2.6
