유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,한식,70.8,37.6
음식,간이음식,70.8,13.9
음식,외국식,70.8,12.1
음식,음식점기타,70.8,1.4
음식,전문음식,70.8,22.6
음식,카페/찻집,70.8,12.4
쇼핑,기타쇼핑시설,12.5,3.4
쇼핑,쇼핑몰,12.5,96.6
문화관광,공연시설,9.2,20.6
문화관광,기타문화관광지,9.2,1.1
문화관광,도시공원,9.2,73.1
문화관광,레저스포츠시설,9.2,3.2
문화관광,전시시설,9.2,1.4
문화관광,테마공원,9.2,0.6
숙박,기타숙박,5.1,0.2
숙박,모텔,5.1,16.3
숙박,캠핑,5.1,0.8
숙박,호텔,5.1,82.7
레저스포츠,기타레저스포츠,1.0,2.7
레저스포츠,육상레저스포츠,1.0,7.3
레저스포츠,수상레저스포츠,1.0,90.0
기타관광,기타관광,0.7,100.0
역사관광,종교성지,0.7,96.2
역사관광,역사유적지,0.7,3.8
자연관광,자연경관(산),0.1,100.0
체험관광,농/산/어촌체험,0.0,100.0
