시군구명,시도명,관광지명,구분
파주시,경기도,헤이리 예술마을,체험관광지
파주시,경기도,마장호수 출렁다리,건축/조형물
파주시,경기도,감악산 출렁다리,건축/조형물
파주시,경기도,파주 임진각(평화누리공원),역사관광지
파주시,경기도,퍼스트가든,자연관광지
파주시,경기도,판문점,역사관광지
파주시,경기도,오두산 통일전망대,건축/조형물
파주시,경기도,마장호수,자연관광지
파주시,경기도,프로방스 마을,체험관광지
파주시,경기도,벽초지수목원,자연관광지
파주시,경기도,하니랜드,휴양관광지
파주시,경기도,쇠꼴마을,체험관광지
파주시,경기도,고구려최강달인의집,음식점
파주시,경기도,감악산(파주),자연관광지
파주시,경기도,파주 카트랜드,육상 레포츠
파주시,경기도,파주 장단콩마을,체험관광지
파주시,경기도,파평용연,역사관광지
파주시,경기도,제3땅굴,역사관광지
파주시,경기도,통일동산 관광특구,휴양관광지
파주시,경기도,스토리 미니어처 뮤지엄,문화시설
파주시,경기도,한국근현대사박물관,문화시설
파주시,경기도,콩스콩스두부,음식점
파주시,경기도,도라전망대,건축/조형물
파주시,경기도,파주 DMZ 생태연구소,자연관광지
파주시,경기도,성혼선생묘,역사관광지
파주시,경기도,파주 출판도시,산업관광지
파주시,경기도,소울원,자연관광지
파주시,경기도,파주 산머루마을,체험관광지
파주시,경기도,코지하우스,음식점
파주시,경기도,파주 덕은리 주거지와 지석묘군,역사관광지
파주시,경기도,심학산 산림공원,자연관광지
파주시,경기도,미메시스 아트 뮤지엄,문화시설
파주시,경기도,모산목장,체험관광지
파주시,경기도,캠프 그리브스,역사관광지
파주시,경기도,보광사(파주),역사관광지
파주시,경기도,파주 맛고을 음식문화거리,체험관광지
파주시,경기도,파주 율곡습지공원,자연관광지
파주시,경기도,대교 트라움벨트,문화시설
파주시,경기도,반구정과 황희선생유적지,역사관광지
파주시,경기도,도라산 평화공원,역사관광지
파주시,경기도,자유의 다리(파주),역사관광지
파주시,경기도,통일공원(파주),역사관광지
파주시,경기도,박달산(파주),자연관광지
파주시,경기도,파머스테이블,음식점
파주시,경기도,93뮤지엄,문화시설
파주시,경기도,청도훼미리랜드,휴양관광지
파주시,경기도,경기미래교육 파주캠퍼스,체험관광지
파주시,경기도,평화랜드,자연관광지
파주시,경기도,재미있는 추억 박물관,문화시설
파주시,경기도,신세계사이먼 파주 프리미엄 아울렛,쇼핑
파주시,경기도,교하동 고인돌 산림욕장,역사관광지
파주시,경기도,화석정,역사관광지
파주시,경기도,교하정,음식점
파주시,경기도,파주 오두산성,역사관광지
파주시,경기도,용암사(파주),역사관광지
파주시,경기도,갤러리박영,문화시설
파주시,경기도,임진강 한우마을,체험관광지
파주시,경기도,임꺽정한우마을,음식점
파주시,경기도,서울액션스쿨 (마샬아트센터),육상 레포츠
파주시,경기도,평화누리길 7코스 헤이리길,육상 레포츠
파주시,경기도,발랑저수지,자연관광지
파주시,경기도,삐아또 고메,음식점
파주시,경기도,교하향교,역사관광지
