순위,관광지ID,업소명,분류
1,aaa87c86646f26fb6d2303ee3ca586a5,더티트렁크,카페/찻집
2,4b7575d2a64ea3473880fe1838b6f3e2,갈릴리농원본관,전문음식
3,fd7d8928be0215068795e554cf4f0bbf,레드브릿지,카페/찻집
4,9937912f9b69fd3801ca420f673c36a2,반구정나루터집,전문음식
5,a55248ebeba926e53528618f7ab6ac32,심학산도토리국수본점,한식
6,301a49db5cb084ebe041ff2f59c5714f,청산어죽,한식
7,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
8,d694e8d956aa03f0eea9daf57258d10c,아티장베이커스파주점,간이음식
9,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
10,811c4126a326250620de2e3d5ae16643,폴콘파주본점,카페/찻집
11,7046e3099bd4c3d0b249bed821f9d7c4,통일동산두부마을,전문음식
12,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
13,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
14,8abd20e849a08444ed3339238935e781,파주닭국수,한식
15,737857df34f7b244b683799e660d9fd7,심학산장어,전문음식
16,8388c44321d9e5659df7cee7807f10db,메주꽃[한식],한식
17,a5f56696708a431401b65152a5c46c15,파주뼈칼국수교하제면소,한식
18,31974064a81a48004db0c43fbc18a2c1,카페카밍,카페/찻집
19,ef3d7596e0d90b9615d64f0481abefcb,타샤의정원[한식],한식
20,ff60878ce76ba222ffec402ec2429a12,버터킹빵공장,간이음식
21,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
22,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
23,9e8fe09e49aa3b5bd371ab3d2fdff7c7,르시랑스,카페/찻집
24,62138cde01f1ce7f817b2d68e203387d,황인용뮤직스페이스카메라타,카페/찻집
25,850f95e73ff69b5b0dd61f8bd002eee7,오두산막국수본점,한식
26,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
27,cbcf11a11d4483e4df3d13be179580c1,원조두지리매운탕본점,한식
28,e8f4c954720c18756069c2b26c630d8f,이삭토스트파주운정이마트점,간이음식
29,c3c2e4e6bf13e664d0affbf723dd14ae,초계탕,한식
30,c63dd07550fcb253cdcc0b6b46c4c771,스타벅스파주야당역점,카페/찻집
31,4aef56b098e7250a15f9b0b00b8392a4,벙커힐파주점,전문음식
32,49f0135e7f9c9fb983305786120295df,스타벅스파주운정점,카페/찻집
33,4aaee966bd76a8d4f9ce7ad11826b9a4,토향,한식
33,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
35,096ec59e23009b0d50c60b4a3fda6a34,좋은날떡집,간이음식
36,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
37,6ba152cbfbd8f4d384d461615e613acb,소령원숲속,전문음식
38,6fbd5ff085952a5abac284b6883e30fa,밀크북,카페/찻집
39,7ef609196aaa77b9e05661c4c3ced6c9,조은도너츠,간이음식
40,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
41,ea338bb9f87e70dfcda107be605208a6,훈장골파주점,한식
41,e1ad4bb422c4422e405c2b422b431707,브런치빈운정점,전문음식
